applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 16218 0.0416318 -0.000154683 -0.0232226 0.0476709 0.0410196 -0.00014907 -0.143513 0.14926 0.000566516 0.000961651 0.000595555 0.000451059 0.00908734 0.0395723 0.0894842 0.0130512 73.0275 0 0 -0.000369743 -0.000231012 421.796 15 248.288 0.0596021 9600 0.0424469 0.000287679 0.0439548 0.0611052 0.042344 0.000200144 0.0439703 0.0610446 0.513975 0.0136398 0.0049828 0.0242837 0.00013696 0.0800426 0.0836453 
-0.2 32402.6 0.0846189 5.85868e-05 -0.0465269 0.0965666 0.0851526 0.000462046 -0.286777 0.299153 0.00227825 0.00386033 0.00241743 0.00194762 0.0182331 0.0792926 0.12785 0.0261548 146.313 0 0 -0.000739331 -0.00045547 366.734 9 259.381 0.0530691 9600 0.0859389 0.000434414 0.0879043 0.122934 0.0857342 0.000297221 0.0879358 0.122813 0.67407 0.0275109 0.00642145 0.0503688 0.000268942 0.16007 0.167807 
-0.3 48546.2 0.127212 -5.81525e-05 -0.0696579 0.145035 0.127209 0.000174014 -0.43029 0.4487 0.00517865 0.00874747 0.00549232 0.00429142 0.0274371 0.119438 0.158028 0.0393821 220.245 0 0 -0.00111055 -0.000673035 322.588 5 264.914 0.0535561 9600 0.132936 0.000357405 0.131847 0.187232 0.132631 8.89708e-05 0.131894 0.187048 0.967369 0.0417163 0.00918387 0.0752991 6.85015e-05 0.240159 0.251686 
-0.4 64673.2 0.170105 -0.0001498 -0.0928097 0.193777 0.170095 0.000214483 -0.573826 0.598505 0.00929776 0.0156971 0.00988741 0.00756124 0.0367016 0.160111 0.184225 0.0527743 295.03 0 0 -0.00148241 -0.000883154 332.671 6 263.211 0.0504379 9600 0.182447 0.000455459 0.175801 0.253363 0.182042 9.49414e-05 0.175866 0.253117 1.21372 0.0563323 0.0115179 0.10071 8.03225e-05 0.320284 0.335744 
-0.5 80758.9 0.213108 -0.000205986 -0.115866 0.242569 0.213096 0.00027102 -0.717437 0.748415 0.0146795 0.0247522 0.0156475 0.0126764 0.0460519 0.2012 0.207995 0.0662931 370.472 0 0 -0.00185531 -0.00108546 331.784 6 261.348 0.0480666 9600 0.235014 0.000568869 0.21975 0.321748 0.234512 0.000119835 0.219833 0.321438 1.47439 0.0713367 0.0139739 0.126203 9.9628e-05 0.400456 0.419871 
-0.6 96807 0.255922 -0.000262232 -0.138805 0.291141 0.255906 0.000324634 -0.861165 0.898384 0.0213642 0.0359737 0.0228285 0.0207298 0.0557445 0.242735 0.23011 0.0799466 446.615 0 0 -0.00222938 -0.0012794 331.785 6 261.641 0.047325 9600 0.291162 0.000684226 0.263697 0.392825 0.290562 0.000147826 0.263799 0.392449 1.75976 0.086748 0.0166673 0.1516 0.000116038 0.480695 0.504034 
-0.7 112793 0.297591 -0.000408547 -0.1615 0.33859 0.297624 0.00033578 -1.00512 1.04826 0.0293946 0.0494187 0.0314932 0.0317264 0.0656128 0.284722 0.251046 0.093735 523.454 0 0 -0.00260529 -0.00146427 345.229 6 275.14 0.0486611 9600 0.35223 0.000856053 0.30764 0.467664 0.351536 0.000200635 0.307763 0.467221 2.07615 0.10259 0.0196639 0.176382 0.000103663 0.561056 0.588128 
-0.8 128780 0.339632 -0.000379135 -0.184144 0.38634 0.339618 0.000441964 -1.14916 1.19829 0.0388228 0.0651408 0.0416996 0.0450926 0.0756622 0.327147 0.271119 0.107652 600.969 0 0 -0.00298193 -0.00163976 340.132 6 268.821 0.0490447 9600 0.416674 0.000921777 0.351586 0.545189 0.415886 0.000213273 0.351731 0.544679 2.33424 0.118864 0.0220969 0.201332 0.000150966 0.641468 0.672321 
-1.2 192155 0.480197 -0.00063133 -0.270115 0.550955 0.480171 0.000721329 -1.72987 1.79527 0.0915458 0.151782 0.0994817 0.123592 0.117781 0.501126 0.346145 0.164527 917.294 0 0 -0.00451593 -0.00222578 364.813 9 253.306 0.0466663 9600 0.752245 0.0014549 0.527344 0.918677 0.751104 0.00041203 0.52759 0.917883 4.68144 0.188814 0.0444946 0.285368 0.000232482 0.965426 1.00672 
-1.6 254428 0.471508 -0.000936131 -0.33513 0.578474 0.471519 0.000992792 -2.33151 2.37871 0.171305 0.275461 0.188838 0.247197 0.163154 0.677905 0.416818 0.221859 1235.69 0 0 -0.00615362 -0.00253062 362.756 9 254.37 0.0482274 9600 1.37196 0.00204246 0.703056 1.54161 1.37051 0.00065199 0.703444 1.5405 6.33956 0.266548 0.0602141 0.28298 0.000277598 1.29961 1.33006 
