applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 16167.7 0.0410865 -7.37563e-05 -0.0140124 0.0434103 0.0399904 -1.69089e-05 -0.152731 0.157879 0.000336956 0.00113726 0.000348457 0.000268018 0.00967296 0.0382006 0.0790108 0.00978199 79.7192 0 0 -0.000426082 -0.00026501 469.469 16 261.416 2.37677 9600 0.0515975 0.000203264 0.0439717 0.0677927 0.0514809 8.59668e-05 0.0439865 0.0677134 0.358376 0.0137246 0.00382735 0.0240059 6.26556e-05 0.0851315 0.0884515 
-0.2 32277.3 0.0862506 -3.82624e-05 -0.028441 0.0908189 0.0862787 7.63124e-05 -0.304872 0.316845 0.00135695 0.0046035 0.00141633 0.00111321 0.0194279 0.0768946 0.112934 0.0196855 160.389 0 0 -0.000850062 -0.000521107 325.766 6 250.425 2.36883 9600 0.101436 0.000266698 0.0879244 0.134239 0.101205 4.75487e-05 0.0879604 0.134088 0.706011 0.0278602 0.00714998 0.0516389 6.43945e-05 0.170008 0.177677 
-0.3 48363.4 0.128802 -9.16373e-05 -0.0425464 0.135647 0.12825 0.000170128 -0.45747 0.475108 0.00309262 0.0104527 0.00323717 0.00261356 0.0292509 0.11595 0.139767 0.0296706 241.681 0 0 -0.00127687 -0.000767475 372.519 8 271.714 2.39542 9600 0.158122 0.000416116 0.131889 0.205907 0.157778 9.14024e-05 0.131944 0.205677 1.21147 0.0423574 0.0121894 0.0768185 0.000127132 0.255096 0.266412 
-0.4 64385.8 0.174763 -9.36381e-05 -0.0569795 0.183817 0.175504 0.000250617 -0.609599 0.63436 0.00557409 0.018796 0.0058391 0.00476226 0.039155 0.155585 0.16308 0.0397934 324.085 0 0 -0.0017021 -0.00100396 459.989 13 284.209 2.36233 9600 0.214209 0.000597185 0.175839 0.277137 0.213753 0.000173689 0.175917 0.276834 1.21147 0.0573086 0.0121894 0.105065 0.00019425 0.339989 0.355853 
-0.5 80362.2 0.215911 -0.000151423 -0.0707742 0.227215 0.215912 0.000181385 -0.762542 0.79252 0.00882089 0.0295937 0.00925473 0.00813379 0.0491069 0.195364 0.184232 0.0499438 406.652 0 0 -0.002132 -0.00122904 327.428 6 251.243 2.37438 9600 0.280475 0.000659852 0.219804 0.356343 0.27991 0.000119864 0.219902 0.355959 1.55974 0.0726505 0.0159921 0.129393 0.000150131 0.425261 0.44451 
-0.6 96285.2 0.258095 -0.000188608 -0.0846413 0.27162 0.25811 0.000224343 -0.915341 0.951037 0.0128766 0.0430201 0.0135352 0.0138158 0.0591168 0.235721 0.203991 0.0602285 490.293 0 0 -0.00256178 -0.00144244 339.13 6 262.823 2.33173 9600 0.349548 0.000796594 0.263759 0.437897 0.348876 0.000152434 0.263881 0.437433 1.79133 0.0885247 0.0183255 0.154772 0.000181993 0.51048 0.533427 
-0.7 112151 0.298853 -0.000227394 -0.0982717 0.314596 0.298871 0.000262844 -1.06838 1.10939 0.0177737 0.0591077 0.0187214 0.0209717 0.0691657 0.27651 0.222743 0.0706095 574.698 0 0 -0.00299327 -0.00164303 319.123 6 243.827 2.35125 9600 0.424882 0.000936187 0.307712 0.524607 0.424105 0.000189532 0.307859 0.524063 2.09855 0.104903 0.0215856 0.179339 0.000210005 0.595823 0.622227 
-0.8 127953 0.337441 -0.000268657 -0.111566 0.355406 0.337424 0.000301237 -1.22175 1.26749 0.0235498 0.0779225 0.0248602 0.0296557 0.0792352 0.317729 0.24076 0.0810849 659.851 0 0 -0.0034269 -0.00182965 320.369 6 243.829 2.35864 9600 0.507755 0.0010755 0.351662 0.617643 0.506876 0.000226936 0.351835 0.617019 2.32349 0.121811 0.0240246 0.202648 0.000236615 0.681336 0.710834 
-1.2 190420 0.43111 -0.000456364 -0.156564 0.458659 0.430944 0.000471326 -1.84346 1.89316 0.0563437 0.180956 0.060066 0.0803894 0.123313 0.485829 0.308463 0.123613 1005.52 0 0 -0.00520363 -0.00239911 420.962 13 248.755 2.3692 9600 0.972342 0.00169723 0.527441 1.10619 0.971089 0.00044797 0.527743 1.10523 5.578 0.194954 0.057302 0.260886 0.000345287 1.02741 1.06002 
-1.4 221028 0.3795 -0.0005437 -0.166407 0.414382 0.379633 0.000582132 -2.16691 2.19991 0.0792596 0.247878 0.0849669 0.116216 0.147206 0.569643 0.341579 0.144669 1176.84 0 0.479948 -0.00614985 -0.00252549 1276.8 9 1162.34 2.38574 9600 1.37449 0.00207352 0.615302 1.50593 1.37308 0.000619953 0.615693 1.5048 6.52398 0.23445 0.0669045 0.233216 0.000407249 1.20651 1.22884 
