applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 17382.8 -0.142378 -2.98883e-05 0.00974553 0.142711 -0.142379 1.53554e-05 -0.176402 0.226692 0.000434107 0.000870914 0.000490519 0.000386091 0.010061 0.0316245 0.103127 0.0165696 70.5584 0 0 -0.000564424 -0.000271128 358.449 8 259.765 0.0605389 9600 0.25315 0.000192038 0.043975 0.256942 0.253016 1.81607e-05 0.0440057 0.256815 0.744517 0.0140316 0.00738611 0.081686 4.1223e-05 0.0963416 0.12631 
-0.2 34568.5 -0.302767 -6.27292e-05 0.0211352 0.303503 -0.302773 4.97035e-05 -0.354459 0.466168 0.00174532 0.0035745 0.00197512 0.00161579 0.0207406 0.0638027 0.148475 0.0334701 142.786 0 0 -0.00113788 -0.000519273 354.816 8 259.984 0.0537523 9600 0.533875 0.000382318 0.0879499 0.541071 0.533609 3.68173e-05 0.0880147 0.540819 1.13438 0.028502 0.0111901 0.173813 9.07939e-05 0.193428 0.260049 
-0.3 51503.5 -0.483828 -9.82456e-05 0.0343915 0.485049 -0.483759 0.000100244 -0.53438 0.720822 0.00394455 0.00827034 0.00447791 0.00367607 0.0321049 0.0965328 0.186893 0.0507888 216.899 0 0 -0.00172068 -0.000741005 357.641 8 260.199 0.0500698 9600 0.845923 0.00057533 0.131922 0.856148 0.84553 6.00714e-05 0.132025 0.855776 1.26015 0.0434512 0.0124086 0.277879 0.00015094 0.29135 0.402618 
-0.4 68109.5 -0.689507 -0.000137283 0.0498458 0.691306 -0.689513 0.000132986 -0.716507 0.994389 0.00703431 0.0151605 0.00803954 0.00652948 0.0442351 0.129805 0.22203 0.0686441 293.19 0 0 -0.00231332 -0.000932195 363.458 9 252.43 0.0482603 9600 1.19465 0.000786693 0.175888 1.20752 1.19413 9.98438e-05 0.176032 1.20704 1.98493 0.0589225 0.0195281 0.396307 0.000200862 0.390255 0.5562 
-0.5 84409.9 -0.922438 -0.000171087 0.0676866 0.924918 -0.922481 0.000193676 -0.90103 1.28951 0.0110122 0.0244837 0.0126596 0.0101438 0.0571898 0.163533 0.255584 0.0871763 371.87 0 0 -0.00291503 -0.00108873 361.431 9 258.53 0.0461864 9600 1.58375 0.0010136 0.219852 1.59893 1.58311 0.00016859 0.220042 1.59833 2.41288 0.0749544 0.0237289 0.530521 0.000268094 0.490228 0.722341 
-0.6 100117 -1.18817 -0.000231162 0.088374 1.19145 -1.18817 0.000222934 -1.08837 1.6113 0.0158588 0.0365465 0.0183788 0.0144369 0.0710512 0.197623 0.288502 0.107432 453.282 0 0 -0.00352555 -0.00120551 369.011 9 263.951 0.0496804 9600 2.02018 0.00124075 0.263802 2.03733 2.01944 0.000212185 0.264044 2.03663 2.98184 0.0915892 0.0293182 0.683717 0.000316551 0.591445 0.904033 
-0.7 115331 -1.48912 -0.000282335 0.112024 1.49332 -1.48912 0.000275576 -1.27868 1.96278 0.021546 0.0516869 0.0251501 0.0193457 0.0858444 0.231858 0.321219 0.129281 537.585 0 0 -0.00414219 -0.0012783 371.945 9 260.172 0.0476089 9600 2.50715 0.00148226 0.307748 2.52597 2.50631 0.00028456 0.308046 2.52517 3.51232 0.108847 0.0345302 0.857371 0.000380159 0.693973 1.10303 
-0.8 129896 -1.828 -0.00033053 0.138778 1.83326 -1.82753 0.00036982 -1.47208 2.34667 0.0280264 0.0702842 0.0341502 0.0247765 0.101566 0.26595 0.353964 0.152992 624.884 0 0 -0.0047613 -0.00130333 453.899 16 255.069 0.0481789 9600 3.04766 0.00174505 0.351688 3.06789 3.04673 0.000401281 0.352049 3.067 3.74551 0.126729 0.0368169 1.05278 0.000472294 0.797853 1.32095 
-1 156548 -2.63577 -0.000448014 0.202461 2.64353 -2.63562 0.000475512 -1.86913 3.23112 0.043061 0.119633 0.0636757 0.0365999 0.135677 0.332111 0.420545 0.207479 808.842 0 0 -0.00598873 -0.00119765 1487.05 46 696.25 0.0479751 9600 4.30583 0.00227638 0.439533 4.3282 4.30475 0.000603664 0.440031 4.32718 9.76104 0.164262 0.0960248 1.51977 0.000598631 1.01003 1.82479 
-1.2 179251 -3.61164 -0.000615935 0.278038 3.62233 -3.61165 0.000622601 -2.27804 4.27007 0.0602188 0.187631 0.107059 0.048851 0.172291 0.404125 0.486872 0.273199 1003.11 0 0 -0.00715128 -0.000890959 391.93 12 251.845 0.0478629 9600 5.78213 0.00284411 0.527336 5.80613 5.78097 0.000827196 0.527984 5.80503 9.76104 0.203494 0.0960248 2.08428 0.000749601 1.22718 2.41872 
