applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 18807.8 -0.0036039 -1.2903e-05 -0.00387041 0.00528851 -0.00357349 2.40163e-05 -0.162789 0.162828 0.000237055 0.00136063 0.000272054 0.000192827 0.0117492 0.0377088 0.0957873 0.0152605 86.8034 0 0 -0.000483312 -0.000283505 354.147 7 268.315 0.0629798 9600 0.104544 0.000157706 0.043972 0.113415 0.10442 9.36019e-06 0.0439937 0.113309 0.597099 0.0146168 0.00541785 0.00111614 4.04301e-05 0.0902378 0.0902447 
-0.2 37558.4 -0.0118651 -5.11107e-05 -0.00719249 0.013875 -0.0117678 4.49489e-05 -0.32613 0.326342 0.000962545 0.00546621 0.0011088 0.000709435 0.0235482 0.075561 0.137019 0.0305986 173.983 0 0 -0.000970328 -0.0005537 378.162 9 269.526 0.05401 9600 0.219249 0.000322257 0.0879442 0.23623 0.219003 2.05219e-05 0.0879897 0.236018 0.649285 0.0295199 0.00631576 0.00474456 7.75369e-05 0.180741 0.180804 
-0.3 56217.5 -0.026932 -6.46342e-05 -0.00970447 0.0286272 -0.0269149 7.48907e-05 -0.490288 0.491027 0.00219863 0.0123315 0.00255521 0.00170012 0.0353671 0.113465 0.170134 0.0459724 261.317 0 0 -0.0014624 -0.000808983 354.865 7 270.87 0.0489621 9600 0.347101 0.000477627 0.131912 0.371322 0.346734 3.60418e-05 0.131983 0.371004 1.12515 0.0447226 0.0106701 0.0124493 0.000122071 0.271633 0.271918 
-0.4 74799.2 -0.0496384 -9.99144e-05 -0.0113287 0.0509149 -0.0496126 0.000107331 -0.655337 0.657212 0.00397007 0.0219702 0.00464366 0.00323508 0.047174 0.151412 0.199032 0.0613839 348.798 0 0 -0.00195975 -0.00104751 372.565 9 268.293 0.0484201 9600 0.489556 0.000647857 0.17588 0.520192 0.489072 6.24029e-05 0.175978 0.519769 1.37773 0.0602407 0.0132921 0.0245051 0.000168105 0.362951 0.363777 
-0.5 93272.8 -0.081691 -0.000126071 -0.0118555 0.0825469 -0.0815003 0.000147745 -0.82146 0.825493 0.00630012 0.0343966 0.00743218 0.00527927 0.0589222 0.189405 0.225551 0.0768301 436.425 0 0 -0.00246319 -0.00126714 373.83 8 275.56 0.045095 9600 0.649205 0.000827241 0.219843 0.685418 0.648605 9.87909e-05 0.219973 0.684891 1.82216 0.0760921 0.0170531 0.041869 0.000217624 0.454778 0.456702 
-0.6 111616 -0.128046 -0.000153632 -0.010724 0.128494 -0.128027 0.000165946 -0.989268 0.997518 0.00922072 0.0494996 0.0109684 0.00756131 0.0705219 0.227154 0.250509 0.0921961 523.536 0 0 -0.00297549 -0.00146464 350.382 7 268.518 0.0474926 9600 0.832809 0.000999493 0.263802 0.873592 0.832097 0.000126921 0.263965 0.872962 2.17346 0.0922956 0.0208563 0.0676895 0.000251469 0.5474 0.551569 
-0.7 129826 -0.189796 -0.000220004 -0.00782929 0.189958 -0.189702 0.000139648 -1.15882 1.17424 0.0127547 0.067256 0.0152949 0.0105132 0.0819478 0.264697 0.27415 0.107504 610.245 0 0 -0.00349634 -0.00163698 400.678 10 280.616 0.0475899 9600 1.04231 0.00124212 0.307759 1.0868 1.04149 0.000197011 0.30796 1.08607 2.5756 0.108872 0.0247853 0.102271 0.000266382 0.640845 0.648954 
-0.8 147837 -0.276121 -0.00022879 -0.00212068 0.276129 -0.276115 0.000237565 -1.33121 1.35954 0.0169353 0.0873402 0.0204844 0.0128018 0.0945895 0.301552 0.297028 0.122552 695.403 0 0 -0.0040305 -0.00177851 367.685 7 282.859 0.0467408 9600 1.29 0.00139143 0.351709 1.33708 1.28907 0.000224775 0.351951 1.33625 3.12601 0.125849 0.0294339 0.151179 0.000342455 0.735627 0.751001 
-1 183095 -0.545993 -0.000330407 0.0202546 0.546369 -0.545814 0.000330012 -1.6869 1.77301 0.0273285 0.13342 0.033601 0.019944 0.120426 0.372397 0.340498 0.151603 859.425 0 0 -0.00514329 -0.00194518 613.897 14 433.287 0.0406418 9600 1.93256 0.00183555 0.439596 1.98193 1.93145 0.000367533 0.439938 1.98092 6.81809 0.161107 0.0626773 0.305112 0.000447363 0.930309 0.979065 
-1.2 216475 -1.04718 -0.000466771 0.0682146 1.0494 -1.04718 0.000427816 -2.06822 2.31821 0.040493 0.182004 0.0505506 0.0319777 0.156241 0.434315 0.380816 0.181983 1003.62 0 0 -0.006342 -0.00188517 452.599 14 278.046 0.0488144 9600 2.90446 0.00238384 0.527448 2.95196 2.9032 0.000586647 0.52792 2.95081 6.81809 0.20209 0.0626773 0.593345 0.000555949 1.13694 1.28245 
-1.3 231900 -1.43389 -0.000538735 0.106841 1.43787 -1.43384 0.000539621 -2.2735 2.68788 0.0480471 0.212108 0.0603425 0.0370494 0.178043 0.459342 0.399276 0.204196 1084.93 0 0 -0.0069749 -0.00173628 827.235 12 684.353 0.0426959 9600 3.57569 0.00266091 0.571353 3.62105 3.57439 0.00071374 0.571907 3.61985 7.50895 0.224794 0.0700586 0.81633 0.000651536 1.24703 1.49047 
-1.4 245957 -1.94392 -0.000636634 0.158276 1.95035 -1.94391 0.000640657 -2.4916 3.1602 0.0561099 0.266895 0.0707403 0.0430646 0.202331 0.493576 0.420077 0.229744 1212.25 0 0 -0.00762102 -0.00149004 369.869 8 275.642 0.0466616 9600 4.40779 0.00299415 0.615242 4.45052 4.40647 0.000872796 0.615888 4.4493 7.50895 0.24897 0.0700586 1.11091 0.000741618 1.36302 1.7584 
-1.45 252373 -2.24244 -0.000657196 0.188306 2.25034 -2.2415 0.000802096 -2.60491 3.43655 0.0602788 0.298822 0.0760734 0.0456844 0.215179 0.514752 0.436639 0.243912 1279.84 0 0 -0.00793996 -0.00133288 1438.3 42 915.508 0.0441989 9600 4.87864 0.00322115 0.637177 4.92007 4.87731 0.00105765 0.637876 4.91884 7.91217 0.261476 0.074796 1.28292 0.000860652 1.42296 1.91591 
-1.5 258217 -2.58324 -0.000795537 0.222487 2.5928 -2.58308 0.000659026 -2.72244 3.75286 0.0645076 0.334602 0.0834246 0.0527883 0.22863 0.536129 0.453684 0.259517 1350.93 0 0 -0.00825661 -0.00114842 456.144 16 267.158 0.0454222 9600 5.4013 0.00345758 0.659106 5.44137 5.39998 0.00112235 0.659853 5.44014 7.98268 0.274296 0.0754068 1.48042 0.000782336 1.48481 2.09674 
-1.55 263531 -2.95258 -0.000822517 0.259243 2.96394 -2.95257 0.00082612 -2.84257 4.09852 0.0687304 0.373772 0.0951591 0.0562825 0.242319 0.557002 0.470726 0.276642 1424.04 0 0 -0.00856251 -0.00094488 342.399 7 260.65 0.047499 9600 5.95717 0.00353446 0.681042 5.99598 5.95586 0.00114747 0.681841 5.99476 8.67986 0.287244 0.0808334 1.69415 0.000903082 1.54783 2.29476 
-1.6 268326 -3.34368 -0.000895025 0.297764 3.35691 -3.34367 0.000895506 -2.96443 4.46855 0.0729812 0.416076 0.107764 0.0577124 0.256032 0.577185 0.487506 0.294717 1498.35 0 0 -0.00885288 -0.000727616 355.363 7 270.232 0.0468688 9600 6.53657 0.00371861 0.702967 6.57426 6.53528 0.00124377 0.703817 6.57307 9.02509 0.300659 0.0846298 1.92043 0.000962893 1.61159 2.50705 
-1.65 272588 -3.75419 -0.000963778 0.33773 3.76936 -3.75419 0.000966583 -3.08773 4.86086 0.0772058 0.461476 0.121135 0.0650475 0.269658 0.596373 0.503914 0.313864 1573.56 0 0 -0.00912569 -0.000499712 361.235 7 280.902 0.046037 9600 7.13564 0.00389772 0.724888 7.17237 7.13438 0.00134364 0.725789 7.1712 9.67666 0.314162 0.0899981 2.158 0.00102357 1.67596 2.73236 
-1.7 276353 -4.17819 -0.00103701 0.378458 4.1953 -4.17818 0.00103896 -3.21179 5.26999 0.0814056 0.509614 0.135101 0.0702459 0.283038 0.614393 0.519786 0.337281 1648.93 0 0 -0.00937855 -0.000265785 346.832 7 266.685 0.0457688 9600 7.7463 0.0040745 0.746806 7.78221 7.74506 0.00144121 0.747757 7.78107 10.1894 0.32752 0.0946744 2.4034 0.00108544 1.74061 2.9675 
-1.75 279656 -4.61086 -0.00111187 0.419418 4.62989 -4.61087 0.00111414 -3.33608 5.69118 0.0876909 0.560134 0.14992 0.0730028 0.296065 0.631159 0.535137 0.361406 1723.87 0 0 -0.00961046 -2.95281e-05 339.434 7 261.671 0.0480485 9600 8.36216 0.00424407 0.768722 8.39742 8.36096 0.00153972 0.76972 8.39631 10.6528 0.340654 0.0989937 2.65386 0.00114945 1.80532 3.2097 
-1.8 282548 -5.04758 -0.00118784 0.460113 5.0685 -5.04758 0.00118559 -3.46011 6.11968 0.0953025 0.612664 0.165038 0.0741451 0.308649 0.646625 0.54987 0.385948 1797.88 0 0 -0.00982116 0.000205826 365.049 8 268.609 0.0460293 9600 8.97729 0.00440986 0.790636 9.01204 8.97612 0.00164097 0.79168 9.01097 11.1209 0.353492 0.103312 2.90668 0.00121151 1.86984 3.45617 
-1.85 285086 -5.48421 -0.00125923 0.500146 5.50697 -5.48417 0.00126249 -3.58348 6.55114 0.102912 0.666862 0.180306 0.0751592 0.320736 0.66081 0.563857 0.410694 1870.63 0 0 -0.0100113 0.000437849 582.312 7 501.528 0.0445383 9600 9.58673 0.00455925 0.81255 9.62111 9.5856 0.0017335 0.813637 9.62007 16.3605 0.365997 0.148849 3.15946 0.0012763 1.93399 3.70438 
-1.9 287296 -5.91894 -0.00133447 0.539334 5.94346 -5.91896 0.00133075 -3.706 6.98344 0.110472 0.722474 0.195615 0.0760726 0.33231 0.673747 0.57711 0.435523 1941.91 0 0 -0.0101819 0.000665179 343.366 7 262.514 0.0454807 9600 10.1884 0.00471168 0.834462 10.2225 10.1873 0.00183309 0.835589 10.2215 16.3605 0.37814 0.148849 3.41119 0.0013363 1.99769 3.9531 
-1.95 289238 -6.34939 -0.00140673 0.577472 6.3756 -6.34939 0.00140865 -3.82747 7.41379 0.117943 0.779245 0.210871 0.0902566 0.343365 0.691313 0.589724 0.460344 2011.6 0 0 -0.0103343 0.000886775 347.36 7 263.596 0.0462089 9600 10.7796 0.00484519 0.856375 10.8136 10.7786 0.00192221 0.857539 10.8126 16.3605 0.389918 0.148849 3.66042 0.00140135 2.06085 4.20069 
-2 290942 -6.77389 -0.00147826 0.614426 6.8017 -6.77388 0.00148048 -3.94776 7.84029 0.133129 0.836943 0.225989 0.114218 0.353901 0.716723 0.601714 0.485081 2079.59 0 0 -0.0104699 0.0011019 345.277 7 261.375 0.0457302 9600 11.3587 0.00497534 0.878287 11.3927 11.3577 0.00201295 0.879486 11.3917 16.3605 0.401926 0.148849 3.90622 0.00146301 2.12341 4.44606 
