applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 13087.7 0.00363913 3.20754e-06 -0.0167359 0.017127 0.00363007 6.16861e-05 -0.1499 0.149943 0.000364397 0.000507403 0.000396728 0.000319524 0.0071859 0.0277501 0.0883696 0.0127767 52.7827 0 0 -0.000408112 -0.000238066 346.246 6 275.172 0.0621987 9600 0.086759 0.000139277 0.0439524 0.0972572 0.0866503 3.19134e-05 0.0439704 0.0971683 0.413222 0.0104515 0.00625614 0.00261813 3.10217e-05 0.0832232 0.0832644 
-0.2 26150.4 0.00400328 -4.9509e-05 -0.0330519 0.0332935 0.00400138 0.000116677 -0.300249 0.300276 0.00147253 0.00203882 0.00160907 0.0011065 0.0143935 0.0556642 0.126107 0.0256208 105.803 0 0 -0.000819413 -0.000467094 360.031 6 287.019 0.0517902 9600 0.180871 0.000264634 0.0879092 0.201103 0.180655 4.7187e-05 0.0879467 0.200925 0.611788 0.0210312 0.00889091 0.00335921 5.81115e-05 0.166668 0.166701 
-0.3 39178.7 0.000470607 -0.000106787 -0.0488381 0.0488405 0.000462722 0.000172648 -0.45113 0.45113 0.00334693 0.00460626 0.003672 0.00263141 0.0216903 0.0837212 0.155844 0.0385246 159.028 0 0 -0.00123439 -0.000686222 349.192 6 278.587 0.0489181 9600 0.28343 0.000394807 0.131865 0.312603 0.283107 6.85203e-05 0.131923 0.312335 0.834514 0.0317436 0.0119929 0.00184516 8.51336e-05 0.250372 0.250378 
-0.4 52168.3 0.0100893 0.000762598 -0.0660134 0.0667843 0.0181317 0.00202188 -0.600089 0.600366 0.00603125 0.00832662 0.00666436 0.00492569 0.0292866 0.112593 0.182215 0.0518213 213.807 0 0 -0.00164099 -0.000896185 578.632 24 278.771 0.0516495 9600 0.372354 0.00232811 0.175756 0.411756 0.371928 0.00190091 0.17587 0.411417 0.99328 0.0428606 0.0142244 0.0125958 0.0013696 0.333271 0.333512 
-0.5 65110.7 -0.0217563 -0.000342382 -0.0783955 0.0813592 -0.0219471 0.000246789 -0.754893 0.755212 0.00948844 0.0128799 0.0104992 0.00770525 0.0367415 0.140199 0.204869 0.0644681 265.912 0 0 -0.00207732 -0.00109043 351.648 6 279.31 0.0484089 9600 0.519445 0.000716712 0.219762 0.564021 0.518915 0.000146769 0.219867 0.563573 1.29437 0.0537843 0.0187803 0.0100384 0.000113923 0.418749 0.418869 
-0.6 78009.2 -0.0436496 -0.000293433 -0.091792 0.101642 -0.0436591 0.000357774 -0.908177 0.909226 0.0138107 0.0185886 0.0153489 0.0114058 0.0444548 0.168527 0.226484 0.077477 319.445 0 0 -0.00250723 -0.00127276 351.756 6 278.72 0.0480869 9600 0.657362 0.000804706 0.26372 0.70829 0.656731 0.000153601 0.263851 0.707752 1.56594 0.0652667 0.0227597 0.0220605 0.000170595 0.50362 0.504103 
-0.7 90846.3 -0.0743457 -0.000361164 -0.104058 0.127889 -0.0743556 0.000425828 -1.06258 1.06518 0.0189982 0.0253294 0.0212134 0.0158431 0.0522888 0.196865 0.246855 0.0904753 372.886 0 0 -0.00294345 -0.00143964 348.114 6 278.458 0.0473206 9600 0.811373 0.000950949 0.307668 0.867748 0.810642 0.000191872 0.307827 0.867121 1.8409 0.0769639 0.0268352 0.0392827 0.000200866 0.589024 0.590332 
-0.8 103614 -0.116548 -0.000430835 -0.114878 0.163647 -0.116563 0.000497095 -1.21842 1.22399 0.0250804 0.0330747 0.0281444 0.0210372 0.0602456 0.225122 0.266279 0.103428 426.09 0 0 -0.0033874 -0.00158883 347.731 6 279.373 0.0479003 9600 0.98525 0.00110576 0.351613 1.04611 0.984423 0.000238938 0.351803 1.0454 2.11822 0.0888793 0.030997 0.0631732 0.000232236 0.675122 0.678071 
-1.2 153586 -0.480297 -0.000792165 -0.134283 0.498716 -0.480326 0.000821596 -1.86569 1.92652 0.058885 0.0725847 0.0675258 0.0518895 0.0931653 0.334449 0.337193 0.153518 631.118 0 0 -0.00527371 -0.00194019 386.761 9 278.102 0.0475637 9600 1.99305 0.00181538 0.527357 2.06164 1.99188 0.00046958 0.527708 2.06059 4.58628 0.138088 0.0700272 0.271776 0.000368825 1.03088 1.0661 
-1.4 177298 -0.879976 -0.000984392 -0.117974 0.88785 -0.879931 0.00105033 -2.21531 2.38367 0.0816721 0.0969677 0.0948242 0.0716414 0.116433 0.382789 0.368915 0.184427 732.856 0 0 -0.00631389 -0.00188941 822.689 7 737.419 0.0460189 9600 2.82285 0.00223952 0.615193 2.88911 2.82153 0.000676888 0.615657 2.88792 7.18954 0.167012 0.113157 0.502424 0.000472095 1.22105 1.32038 
