applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 10612.9 0.0373536 0.000244978 -0.0437721 0.0575443 0.0372784 0.000183914 -0.12272 0.128257 0.000199082 0.000363135 0.000221559 0.000140175 0.00612687 0.0210114 0.0901109 0.00885405 45.4244 0 0 -0.000239902 -0.000151502 303.717 4 255.161 0.0598386 9600 0.0249176 0.000180105 0.0438912 0.0504713 0.0248518 0.000146807 0.0439006 0.050447 0.330276 0.00915815 0.00377968 0.0216441 9.51064e-05 0.0685898 0.0719238 
-0.2 21227.5 0.0732843 0.00133261 -0.0875351 0.11417 0.0701862 0.00305579 -0.245727 0.255572 0.000809024 0.00147127 0.000899048 0.000583521 0.0123455 0.042217 0.127932 0.0178592 91.4157 0 0 -0.000480606 -0.000300322 319.487 5 259.366 0.0531099 9600 0.0526339 0.00202603 0.087831 0.102414 0.0525026 0.00186777 0.0878454 0.102356 0.471069 0.0183141 0.00508517 0.0407587 0.00175838 0.137295 0.143228 
-0.3 31827.5 0.112772 0.000160091 -0.131502 0.173235 0.112696 0.000288157 -0.368312 0.385168 0.00181226 0.00329738 0.00202793 0.00138579 0.018556 0.0632815 0.157578 0.0267666 136.838 0 0 -0.00072044 -0.00044643 328.119 4 280.13 0.0495536 9600 0.0775619 0.000328493 0.131742 0.152879 0.0773657 0.000159086 0.131771 0.152804 0.61897 0.0277073 0.00661664 0.0654504 0.000138788 0.205873 0.216026 
-0.4 42421.3 0.151402 9.70726e-05 -0.175359 0.231675 0.151285 0.000332617 -0.491124 0.513897 0.00324274 0.00589614 0.00363705 0.00252103 0.0248674 0.084581 0.182695 0.0358525 182.953 0 0 -0.000961122 -0.000589715 294.568 4 247.74 0.0475284 9600 0.105011 0.000397307 0.175668 0.204663 0.104751 0.00015626 0.175708 0.204563 0.784763 0.0371835 0.00833706 0.0878735 0.000157743 0.274536 0.288256 
-0.5 52997.1 0.190971 4.60438e-05 -0.219275 0.290778 0.191872 0.00043626 -0.613749 0.643042 0.00510111 0.0092778 0.00573726 0.003991 0.0312575 0.106019 0.204972 0.0450481 229.462 0 0 -0.00120152 -0.000730084 306.969 5 246.991 0.0493459 9600 0.132527 0.000544693 0.219572 0.256467 0.132202 0.000253556 0.219624 0.256344 0.900348 0.0467749 0.0100782 0.11141 0.000242318 0.343124 0.360758 
-0.6 63578.5 0.230193 -4.6369e-05 -0.262986 0.349501 0.230057 0.000437348 -0.73681 0.771891 0.00739919 0.0134296 0.00834587 0.00530605 0.0377144 0.127508 0.225521 0.0542896 276.025 0 0 -0.00144361 -0.000867438 307.577 4 263.487 0.0506351 9600 0.162654 0.000544995 0.263513 0.30967 0.162266 0.000173706 0.263575 0.309519 1.10829 0.0565978 0.0123048 0.133662 0.00020168 0.41192 0.433063 
-0.7 74140.9 0.270281 -5.87878e-05 -0.306778 0.408858 0.270202 0.000512488 -0.859701 0.901163 0.010144 0.0183938 0.0114705 0.00712053 0.0442398 0.149123 0.244647 0.063648 322.983 0 0 -0.00168538 -0.0010016 306.098 4 257.579 0.0484298 9600 0.192987 0.000632213 0.307441 0.362994 0.192535 0.000200548 0.307515 0.362816 1.27964 0.0665167 0.0143952 0.157007 0.000232976 0.48065 0.505644 
-0.8 84692.9 0.31103 -0.000102675 -0.350536 0.468631 0.311128 0.000576464 -0.982617 1.0307 0.0133459 0.0241817 0.0151535 0.00951682 0.0508411 0.170845 0.26258 0.0731068 370.266 0 0 -0.00192754 -0.00113254 306.266 4 258.156 0.0501632 9600 0.224277 0.000722171 0.351366 0.416844 0.223763 0.000229096 0.351452 0.41664 1.43953 0.0765862 0.0164359 0.180807 0.000261641 0.549405 0.578391 
-1.2 126786 0.477662 -0.00049323 -0.525035 0.709805 0.477479 0.000757433 -1.47485 1.55022 0.0309473 0.0558235 0.0355131 0.0269923 0.0780292 0.258766 0.326804 0.111921 562.16 0 0 -0.00290113 -0.00162041 340.032 7 255.328 0.0476705 9600 0.363606 0.000971277 0.527067 0.64032 0.362848 0.000219704 0.527204 0.640002 2.87573 0.118419 0.0305873 0.277617 0.000310109 0.824798 0.870266 
-1.6 168655 0.648596 -0.000885077 -0.698059 0.952871 0.648124 0.000962375 -1.96847 2.07242 0.0568261 0.101875 0.0660778 0.0633101 0.106564 0.348167 0.383614 0.152458 758.807 0 0 -0.00388468 -0.00204284 327.811 7 246.374 0.0480812 9600 0.531811 0.00127991 0.702737 0.881286 0.53082 0.000244669 0.702936 0.880845 3.58615 0.162978 0.0378998 0.377002 0.000352949 1.10105 1.1638 
-2 210278 0.811992 -0.00175031 -0.867961 1.18857 0.812633 0.000452372 -2.46522 2.5957 0.0919248 0.163096 0.108518 0.11553 0.136561 0.438335 0.436367 0.194699 959.224 0 0 -0.00488522 -0.00238315 343.217 8 247.299 0.0482621 9600 0.75042 0.00228377 0.87839 1.15529 0.74921 0.000884025 0.87866 1.15471 4.28415 0.210465 0.0458634 0.472891 0.000738709 1.37903 1.45786 
-2.4 251570 0.919044 -0.00154327 -1.02767 1.37868 0.918778 0.00166103 -2.97222 3.11099 0.137394 0.237387 0.164798 0.183203 0.168142 0.53032 0.486524 0.237304 1156.12 0 0 -0.00593642 -0.00259926 338.221 7 253.661 0.0492472 9600 1.09965 0.00203476 1.05405 1.52324 1.09825 0.000511282 1.05441 1.52247 5.69503 0.260649 0.0595761 0.534851 0.00051206 1.66218 1.74611 
