applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 10180.6 -0.0555816 0.00182876 -0.0343095 0.0653437 -0.0554159 0.00337489 -0.131812 0.143027 9.03043e-05 0.000323682 0.000222054 6.99796e-05 0.00623046 0.019342 0.0984716 0.00899784 42.989 0 0 -0.000293914 -0.000144096 659.339 33 260.544 0.0589499 9600 0.129211 0.00437837 0.0436665 0.13646 0.129142 0.00385429 0.0436777 0.136382 0.333911 0.00811246 0.00289345 0.0325345 0.00239861 0.0726601 0.0796475 
-0.2 20473.3 -0.0810727 0.000220322 -0.071868 0.108341 -0.078414 0.000431456 -0.261062 0.272584 0.000364728 0.0011904 0.000843864 0.000294187 0.0125177 0.0368757 0.138033 0.0179024 82.4981 0 0 -0.000569926 -0.000286208 539.113 21 275.134 0.0485785 9600 0.226685 0.000949856 0.0877405 0.243075 0.226549 0.000766323 0.0877736 0.242959 0.473232 0.0163958 0.00434305 0.0456413 0.000234207 0.14422 0.15127 
-0.3 30753.6 -0.110845 -0.000329162 -0.108895 0.155386 -0.103982 0.000558361 -0.390946 0.404539 0.000822147 0.00263881 0.00191695 0.000710223 0.0186618 0.0551126 0.170127 0.0269643 122.816 0 0 -0.000849521 -0.000423825 532.605 21 274.133 0.0495394 9600 0.330342 0.000708951 0.13178 0.355658 0.33014 0.000409593 0.131847 0.355494 0.663973 0.0245437 0.00590461 0.0604025 4.1839e-05 0.216103 0.224386 
-0.4 40952.1 -0.152955 -0.000889686 -0.144428 0.21037 -0.14373 0.000494115 -0.521946 0.541375 0.00147233 0.00476022 0.00344444 0.0012731 0.0249775 0.0737526 0.197768 0.0361151 164.892 0 0 -0.00113638 -0.000554807 524.329 21 265.601 0.0479405 9600 0.450926 0.00159459 0.175667 0.483937 0.450657 0.0012439 0.175757 0.483719 0.860014 0.0328699 0.00772168 0.0834664 0.000196744 0.288463 0.300296 
-0.45 46063 -0.164815 -0.0027562 -0.163089 0.231883 -0.156464 -0.00233821 -0.586456 0.606974 0.00187346 0.006057 0.00422735 0.00143051 0.0281314 0.0830943 0.208503 0.0407338 185.998 0 0 -0.00127387 -0.000619372 1402.94 40 893.165 0.0451847 9600 0.501609 0.00509478 0.197643 0.539166 0.501308 0.00457874 0.197747 0.53892 1.04771 0.0370462 0.0097561 0.0906216 0.00213436 0.324167 0.336602 
-0.5 51119.4 -0.211558 -0.00183634 -0.178276 0.276663 -0.212599 -0.0022189 -0.655023 0.688665 0.002319 0.00762816 0.00514001 0.00192709 0.0315631 0.092942 0.219329 0.045467 208.621 0 0 -0.00143325 -0.000678848 694.764 35 269.479 0.0461946 9600 0.594952 0.00299662 0.219683 0.634222 0.594617 0.00267456 0.219764 0.633935 1.04771 0.041956 0.0098611 0.123407 0.00164834 0.361718 0.382193 
-0.50625 51690 -0.217543 -0.00242322 -0.179957 0.28234 -0.219941 -0.00319265 -0.663131 0.698661 0.00238238 0.00784968 0.00525519 0.0019638 0.0320478 0.0942561 0.220595 0.0460292 211.621 0 0 -0.00145219 -0.000685354 1358.82 6 1287.28 0.0437382 9600 0.606736 0.00370694 0.222234 0.646166 0.606397 0.0033921 0.222312 0.645873 1.15063 0.0427508 0.0110337 0.127632 0.00223221 0.366146 0.38776 
-0.5125 52310.4 -0.226066 -0.000922879 -0.18153 0.289931 -0.221248 -0.000584859 -0.671888 0.707379 0.00244446 0.00803484 0.00549341 0.00200066 0.0321981 0.095344 0.223159 0.0466476 214.066 0 0 -0.00147512 -0.000691981 383.8 10 269.121 0.0467817 9600 0.620805 0.00122803 0.224942 0.660302 0.620461 0.000819932 0.225038 0.660012 1.15063 0.0427508 0.0110337 0.128531 0.000665337 0.370996 0.39263 
-0.51875 52980.8 -0.224345 -0.00143165 -0.184282 0.290332 -0.22203 -0.00117157 -0.679865 0.715203 0.00250021 0.00823249 0.00553322 0.0020547 0.0325957 0.096509 0.223567 0.0472008 216.695 0 0 -0.00149024 -0.000700618 409.993 11 278.438 0.0477556 9600 0.623694 0.00218171 0.227786 0.663992 0.623347 0.00181675 0.227879 0.663697 1.15063 0.0430451 0.0110337 0.128931 0.00102942 0.375419 0.396943 
-0.525 53565.9 -0.232739 -0.00110858 -0.185775 0.297794 -0.228637 -0.00079162 -0.688355 0.725333 0.00256836 0.00845012 0.00571269 0.00209402 0.0329543 0.097748 0.225441 0.0478216 219.517 0 0 -0.00151171 -0.000706917 357.75 7 271.561 0.0484086 9600 0.638062 0.00147891 0.230399 0.678387 0.637711 0.00108222 0.230498 0.678089 1.15063 0.0434088 0.0110337 0.132812 0.000788983 0.380068 0.402606 
