applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 12939.6 -0.0968122 -0.00010166 -0.0114256 0.0974841 -0.0968178 2.71899e-05 -0.155165 0.182893 0.000161833 0.000542304 0.000173058 0.000144345 0.00780139 0.024083 0.0745384 0.00798294 55.5525 0 0 -0.000434853 -0.000208498 350.119 6 277.942 0.0584688 9600 0.195488 0.00018549 0.0439333 0.200364 0.195385 6.09175e-05 0.043957 0.200268 0.499603 0.0104008 0.00452056 0.0557423 2.90165e-05 0.0851135 0.101742 
-0.2 25893.8 -0.203987 -0.000140013 -0.0218147 0.20515 -0.203978 0.000216241 -0.311527 0.372366 0.000653303 0.00221584 0.000695107 0.000563067 0.0159442 0.0486239 0.105563 0.0160652 112.252 0 0 -0.000876081 -0.000404013 346.562 7 261.939 0.0525744 9600 0.407554 0.000302497 0.0879133 0.416928 0.407348 5.79204e-05 0.0879635 0.416737 0.663201 0.0209849 0.00594591 0.117474 9.59113e-05 0.170799 0.207298 
-0.3 38647.9 -0.323394 -0.000261275 -0.0308739 0.324864 -0.323389 0.00020421 -0.469058 0.569733 0.00147616 0.00509844 0.00158186 0.00131359 0.0245307 0.073662 0.130099 0.024276 170.199 0 0 -0.00132363 -0.000584538 350.44 6 276.225 0.0493833 9600 0.638715 0.000468172 0.131839 0.65218 0.638409 8.05137e-05 0.131917 0.651896 0.972639 0.0318273 0.00873152 0.186315 7.74867e-05 0.257006 0.317436 
-0.4 51305.3 -0.45624 -0.000355212 -0.0385474 0.457866 -0.45623 0.000299032 -0.628051 0.776269 0.00264151 0.00928722 0.00283492 0.00231495 0.0335837 0.0992417 0.150944 0.0326493 229.596 0 0 -0.00177831 -0.000748572 327.329 6 259.271 0.0482048 9600 0.890897 0.000621196 0.175788 0.908074 0.890494 0.000107101 0.175897 0.9077 1.27 0.04307 0.0114185 0.262939 0.000117598 0.3439 0.432902 
-0.5 63809.5 -0.6045 -0.00045307 -0.0446217 0.606145 -0.604462 0.00039703 -0.788645 0.993648 0.00415408 0.0148959 0.00446697 0.00387006 0.0431449 0.125399 0.169504 0.0412127 290.601 0 0 -0.00224024 -0.000893972 352.617 6 284.12 0.0482455 9600 1.16678 0.000780752 0.219734 1.18729 1.16629 0.000140147 0.219876 1.18683 1.58835 0.0546744 0.0142844 0.348488 0.000159132 0.431534 0.554676 
-0.6 76163.6 -0.769337 -0.00056008 -0.0489849 0.770895 -0.768372 0.000435687 -0.95097 1.2226 0.00602326 0.0220536 0.00648017 0.00551778 0.0532482 0.152143 0.186342 0.0500077 353.351 0 0 -0.00270936 -0.00101868 365.383 8 266.905 0.0489825 9600 1.46821 0.000924618 0.263693 1.49171 1.46763 0.000160746 0.263873 1.49116 1.84884 0.0666703 0.0166426 0.443128 0.00018031 0.519992 0.683194 
-0.7 88311.2 -0.949069 -0.000591208 -0.0517782 0.950481 -0.943229 0.000555522 -1.11486 1.46034 0.00826001 0.0308795 0.00890002 0.00745689 0.0638688 0.179417 0.202614 0.0590893 417.787 0 0 -0.00318366 -0.00112113 414.046 11 280.711 0.0473861 9600 1.79314 0.00119421 0.307649 1.81934 1.79246 0.000327412 0.30788 1.81871 2.22022 0.0790603 0.0199809 0.544183 0.000284987 0.609213 0.81687 
-0.8 100130 -1.16256 -0.000822824 -0.0511682 1.16369 -1.16257 0.000683339 -1.28211 1.73072 0.0108103 0.0417339 0.0116837 0.0095427 0.075326 0.207635 0.217806 0.0684938 485.237 0 0 -0.00367004 -0.00119486 344.689 7 258.835 0.0488109 9600 2.16569 0.00134624 0.351556 2.19404 2.16493 0.000311738 0.351816 2.19333 2.63654 0.0919658 0.0235451 0.670916 0.000275805 0.699826 0.969477 
-1.2 144098 -2.26387 -0.00128283 -0.0238648 2.264 -2.2639 0.00127492 -1.97609 3.00503 0.0245674 0.10889 0.0267546 0.022624 0.127709 0.32591 0.289101 0.111651 779.586 0 0 -0.00565127 -0.00118547 379.051 11 254.586 0.0476218 9600 4.01544 0.0020747 0.527243 4.04991 4.01442 0.000551591 0.52771 4.04896 5.90161 0.148456 0.0531148 1.30808 0.000565341 1.07411 1.69257 
-1.6 179878 -3.86796 -0.0018767 0.0517465 3.86831 -3.86798 0.0018613 -2.71839 4.72767 0.043194 0.227742 0.0479539 0.0359927 0.189687 0.447735 0.3642 0.168082 1118.12 0 0 -0.00755765 -0.000629022 409.839 11 275.757 0.0486543 9600 6.54281 0.00301131 0.702826 6.58045 6.54169 0.00098434 0.703547 6.57941 8.71535 0.212327 0.0784196 2.23701 0.000864432 1.47036 2.67697 
