applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 11563.7 -0.0594874 0.00105641 -0.0238446 0.0640971 -0.0516888 0.000688827 -0.14224 0.151342 0.000428882 0.000486608 0.000459317 0.000399978 0.00622462 0.0303297 0.0816803 0.0119569 51.8294 0 0 -0.000364493 -0.000179114 535.918 23 261.555 0.0614654 9600 0.144828 0.00235166 0.0438216 0.151331 0.144736 0.0020448 0.0438624 0.15125 0.360616 0.00955308 0.00356338 0.0299466 0.000430363 0.0784476 0.0839703 
-0.2 23233.5 -0.0768404 -0.00336602 -0.0519932 0.0928389 -0.0716803 -0.00615137 -0.280331 0.289415 0.00173075 0.00198728 0.00186712 0.00152549 0.0128954 0.0600657 0.120163 0.0242485 104.758 0 0 -0.000699052 -0.000355705 461.068 17 254.299 0.0535304 9600 0.244875 0.00692524 0.087846 0.260248 0.244696 0.00628979 0.0879078 0.260084 0.51363 0.0198585 0.00529509 0.0407636 0.00448315 0.154889 0.160226 
-0.3 34914.9 -0.112026 -0.00421456 -0.0783436 0.136767 -0.10107 -0.00420588 -0.421292 0.433267 0.00385126 0.00295097 0.00405088 0.00346377 0.0188852 0.0785598 0.144307 0.0306022 129.531 0 0 -0.00104854 -0.000524942 530.701 23 251.764 0.0480637 9600 0.366964 0.00878441 0.131961 0.390069 0.366697 0.0078633 0.132069 0.389835 0.701964 0.0292866 0.00766224 0.0576174 0.00365433 0.232825 0.239877 
-0.4 46306.9 -0.212897 -0.00207667 -0.097662 0.234237 -0.206833 -0.00144499 -0.568687 0.605134 0.00686384 0.00546105 0.00730984 0.00607811 0.0253163 0.106675 0.167184 0.0410071 176.104 0 0 -0.00143919 -0.000675329 826.128 46 247.874 0.0485881 9600 0.572095 0.0039786 0.175794 0.598508 0.571738 0.00352288 0.175898 0.598195 0.922273 0.0387931 0.0104926 0.119236 0.00147478 0.31361 0.335516 
-0.5 57819.5 -0.255086 -0.00457783 -0.122833 0.283157 -0.236398 -0.00426694 -0.709599 0.747953 0.0108407 0.00859823 0.0114751 0.0096657 0.0317692 0.133841 0.187472 0.0516438 220.896 0 0 -0.00179406 -0.000824956 862.053 48 249.639 0.0475653 9600 0.709156 0.00908413 0.219689 0.742461 0.708715 0.00822021 0.219867 0.742082 1.18121 0.049076 0.0133313 0.135872 0.00386398 0.391522 0.414447 
-0.6 69149.9 -0.357518 -0.00590622 -0.141785 0.384652 -0.35916 -0.0082303 -0.857719 0.929917 0.0157174 0.0128473 0.0167505 0.0138697 0.0386181 0.163026 0.209049 0.0625888 269.782 0 0 -0.00218398 -0.000955393 842.568 46 248.857 0.0483431 9600 0.926087 0.0113441 0.263695 0.962965 0.92556 0.0104442 0.263843 0.962488 1.42622 0.0589773 0.0163852 0.206913 0.00598603 0.472547 0.515897 
-0.7 80423.1 -0.464776 -0.00483746 -0.160054 0.491587 -0.468725 -0.00514758 -1.00646 1.11027 0.021423 0.0179665 0.0230807 0.0203657 0.0456556 0.192114 0.226566 0.0737311 318.716 0 0 -0.00257828 -0.00107305 749.549 40 251.907 0.0473584 9600 1.15111 0.0090188 0.307647 1.19155 1.1505 0.00820479 0.307813 1.19099 1.70341 0.0696202 0.0197728 0.270574 0.00394262 0.554042 0.616594 
-0.8 91589 -0.581338 -0.00367659 -0.177153 0.607743 -0.579632 -0.00335932 -1.15596 1.29314 0.0281348 0.0240793 0.030492 0.0264973 0.0536799 0.221572 0.242707 0.0852959 368.559 0 0 -0.00297867 -0.00117532 798.607 43 251.418 0.0480654 9600 1.39199 0.00680202 0.35161 1.43572 1.39129 0.00606083 0.351816 1.4351 2.0024 0.0806921 0.0232049 0.334889 0.0028788 0.635953 0.718745 
-1 113708 -0.821787 -0.00646596 -0.209988 0.848216 -0.813923 -0.00893046 -1.45632 1.66836 0.0446495 0.0397042 0.0485145 0.0429986 0.0706069 0.282232 0.274065 0.109649 472.226 0 0 -0.00377877 -0.00133801 1039.32 32 633.885 0.0449874 9600 1.89829 0.0125897 0.439609 1.94857 1.89744 0.0114623 0.439913 1.9478 3.75163 0.10363 0.0386791 0.470147 0.00684379 0.800407 0.928298 
-1.00625 114341 -0.836531 -0.00492406 -0.210172 0.862544 -0.825379 -0.00385891 -1.46643 1.68276 0.0450838 0.040279 0.0488189 0.0434256 0.0711695 0.283976 0.275332 0.110247 475.531 0 0 -0.00380698 -0.00134025 3443.94 42 2891.76 0.0679166 9600 1.92199 0.00914509 0.442168 1.97222 1.92114 0.00817162 0.442479 1.97145 3.75163 0.104341 0.0386791 0.477091 0.00357395 0.805895 0.936533 
