applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 19509.8 0.00252499 3.01919e-05 -0.0134999 0.013734 0.00257313 5.87284e-05 -0.153123 0.153145 0.000500698 0.00127584 0.00054538 0.000430037 0.0114519 0.0384572 0.100163 0.015779 84.0306 0 0 -0.000426601 -0.000249448 320.522 5 259.224 0.0601875 9600 0.0909228 0.000153152 0.0439547 0.10099 0.0908108 3.62442e-05 0.0439738 0.100897 0.616835 0.015487 0.00786194 0.00214146 3.64085e-05 0.0849859 0.0850129 
-0.2 38996.6 0.00745388 9.93261e-05 -0.0272789 0.0282791 0.0131018 0.000508666 -0.305679 0.30596 0.00202984 0.00518665 0.00223417 0.00157672 0.0229903 0.0775758 0.143579 0.031817 169.424 0 0 -0.000852098 -0.000489136 574.555 25 269.001 0.0521395 9600 0.18212 0.000574564 0.0879054 0.202226 0.181898 0.000409636 0.0879556 0.202048 0.904191 0.0312256 0.0113721 0.0088927 0.000372539 0.169836 0.170069 
-0.3 58398.3 -0.00437282 -7.42402e-05 -0.0390151 0.0392595 -0.00433881 0.000161143 -0.460941 0.460962 0.00461139 0.0115782 0.00506744 0.00372014 0.0344611 0.116014 0.177083 0.0475695 253.133 0 0 -0.00129045 -0.000717239 322.042 5 261.012 0.048108 9600 0.298511 0.000423486 0.131874 0.326343 0.298179 6.74086e-05 0.131936 0.326064 1.27862 0.0472017 0.0160536 0.000866475 0.000100123 0.255724 0.255725 
-0.4 77747.4 -0.0285545 -0.000594555 -0.0493389 0.0570091 -0.0380236 -0.000430611 -0.617652 0.618821 0.00831011 0.0204896 0.00915555 0.00685342 0.0459235 0.154484 0.206461 0.0633019 336.735 0 0 -0.00173764 -0.000931759 335.913 6 264.679 0.0492159 9600 0.4347 0.00133015 0.175849 0.468923 0.43426 0.000848602 0.175914 0.468538 1.6543 0.0634783 0.0207103 0.0191552 0.000519732 0.342333 0.342869 
-0.5 97020.5 -0.0332391 -0.00018837 -0.0616977 0.0700819 -0.0331955 0.000274632 -0.771592 0.772305 0.013115 0.0323692 0.0145405 0.0110039 0.0575242 0.194239 0.233476 0.0795928 423.235 0 0 -0.00217229 -0.0011358 348.371 5 287.025 0.0474209 9600 0.550167 0.000710327 0.219786 0.592444 0.549622 0.000118193 0.219897 0.591979 2.0024 0.079987 0.0250236 0.0158445 0.000167323 0.427832 0.428126 
-0.6 116213 -0.0602611 -0.000271456 -0.0714808 0.0934932 -0.0607144 0.000361556 -0.928504 0.930487 0.0191148 0.0466735 0.0212915 0.0161271 0.069637 0.233408 0.25844 0.0956092 508.211 0 0 -0.00262231 -0.00132264 350.772 6 280.606 0.0483604 9600 0.698889 0.00086935 0.263741 0.746998 0.698241 0.000161749 0.263879 0.74644 2.41502 0.0968049 0.0301391 0.0310751 0.000213742 0.514644 0.515581 
-0.7 135294 -0.0965308 -0.000313104 -0.0800653 0.125414 -0.0964854 0.000399041 -1.08656 1.09083 0.0263344 0.0636017 0.029477 0.0223304 0.0819601 0.27265 0.282146 0.111647 593.248 0 0 -0.00307878 -0.00149213 339.692 5 282.108 0.046077 9600 0.864541 0.00101804 0.307688 0.917662 0.863792 0.000191466 0.307857 0.917013 2.82565 0.113936 0.0352184 0.0510818 0.000237822 0.602012 0.604175 
-0.8 154281 -0.147334 -0.000464237 -0.0869426 0.171075 -0.147354 0.00044739 -1.2464 1.25508 0.0348439 0.0829771 0.0391723 0.0294964 0.0945055 0.311652 0.304752 0.127572 677.599 0 0 -0.00354417 -0.00164107 337.621 7 255.113 0.0485335 9600 1.05427 0.0011788 0.351645 1.11137 1.05342 0.000213381 0.351848 1.11063 3.24806 0.131387 0.0403771 0.0798257 0.000264873 0.690229 0.69483 
-1.2 228139 -0.587225 -0.000825183 -0.0859164 0.593477 -0.58721 0.000683124 -1.91405 2.0021 0.0822503 0.180642 0.0945451 0.0767058 0.146938 0.461064 0.389095 0.190408 999.638 0 0 -0.00553047 -0.00195001 357.49 8 262.488 0.0479432 9600 2.18388 0.0020624 0.527382 2.24666 2.18269 0.000567217 0.527762 2.24559 6.98889 0.205758 0.0875952 0.331856 0.000374964 1.0565 1.10739 
-1.4 262629 -1.0849 -0.000986454 -0.053106 1.0862 -1.08487 0.0010169 -2.2802 2.52513 0.114316 0.241809 0.13283 0.103472 0.186844 0.524103 0.427904 0.234061 1158.96 0 0 -0.00663379 -0.0018303 533.132 8 433.824 0.0463539 9600 3.15347 0.00241769 0.615215 3.21293 3.15216 0.000711401 0.615722 3.21173 11.1082 0.250621 0.13864 0.61901 0.000569533 1.25486 1.39923 
