applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 11769.4 -0.0926729 -8.48335e-05 -0.013924 0.0937131 -0.092649 4.32772e-05 -0.15268 0.178592 0.000191381 0.000438605 0.000201509 0.00016382 0.00695578 0.021625 0.0688416 0.00677854 49.9215 0 0 -0.00042123 -0.000200754 321.756 6 246.739 2.42332 9600 0.189065 0.000171834 0.0439322 0.194102 0.188964 5.48266e-05 0.0439552 0.194008 0.460211 0.00962568 0.00607555 0.0534184 1.71472e-05 0.083781 0.0993618 
-0.2 23478 -0.19492 -0.00017033 -0.0268316 0.196758 -0.194906 0.000137085 -0.306441 0.363172 0.000770033 0.00179046 0.000809569 0.000678565 0.0141536 0.0436779 0.0975805 0.0136395 100.833 0 0 -0.000848412 -0.000389332 336.277 6 256.225 2.40928 9600 0.393636 0.000293917 0.0878856 0.403328 0.393434 5.78221e-05 0.0879338 0.403141 0.691166 0.0194057 0.00896889 0.112408 4.02011e-05 0.168072 0.202197 
-0.3 35093.7 -0.308376 -0.000262971 -0.0385517 0.310777 -0.308359 0.000227586 -0.461387 0.554944 0.00174308 0.00411817 0.00183329 0.00157645 0.0217701 0.0662022 0.119977 0.0205993 152.868 0 0 -0.00128195 -0.000564213 332.666 6 258.287 2.37593 9600 0.615823 0.000433542 0.131834 0.629777 0.615523 8.21899e-05 0.13191 0.629499 0.945309 0.0293465 0.0121606 0.177889 7.23168e-05 0.252912 0.309207 
-0.4 46602.2 -0.434406 -0.000353554 -0.0489391 0.437154 -0.434373 0.000323153 -0.617666 0.75511 0.00311734 0.00749617 0.00328301 0.00281253 0.0297926 0.0892349 0.139104 0.0276777 206.159 0 0 -0.00172221 -0.000723765 339.65 6 263.861 2.41613 9600 0.857652 0.000577652 0.17578 0.875481 0.857256 0.000111086 0.175885 0.875113 1.21703 0.0395152 0.0155621 0.250653 0.00010684 0.338372 0.421097 
-0.5 57981.5 -0.574571 -0.00046125 -0.0578272 0.577474 -0.574554 0.000423294 -0.775444 0.965104 0.0048981 0.0120126 0.0051655 0.00463524 0.0382579 0.112811 0.156155 0.0349024 260.849 0 0 -0.00216945 -0.000866144 332.683 6 256.213 2.40234 9600 1.12144 0.000729536 0.219725 1.14276 1.12095 0.000147208 0.219862 1.1423 1.50489 0.0501214 0.0191811 0.331635 0.000143599 0.424527 0.538707 
-0.6 69213.9 -0.730805 -0.000568842 -0.0650258 0.733693 -0.730807 0.000527188 -0.934913 1.18665 0.00709077 0.0177739 0.00748862 0.00662655 0.0472071 0.13697 0.171706 0.0423102 317.113 0 0 -0.00262393 -0.000989322 330.182 6 253.407 2.41243 9600 1.4098 0.000889272 0.263666 1.43424 1.40922 0.000190338 0.263837 1.4337 1.79867 0.0610687 0.0228578 0.42194 0.000182031 0.511466 0.663046 
-0.7 80270 -0.90493 -0.000671122 -0.0703432 0.90766 -0.904954 0.000640444 -1.09626 1.42152 0.00969869 0.0249041 0.0102596 0.00895783 0.0566781 0.161742 0.186098 0.0499339 375.118 0 0 -0.00308561 -0.00109111 332.995 6 256.096 2.43272 9600 1.72534 0.00104713 0.307602 1.75255 1.72468 0.000233689 0.307811 1.75193 2.12874 0.0723838 0.0269853 0.522628 0.00022666 0.599274 0.795153 
-0.8 91123.1 -1.09967 -0.000794101 -0.0735301 1.10213 -1.09959 0.000754257 -1.25974 1.67214 0.0127208 0.0335529 0.0134792 0.0121642 0.0667152 0.187175 0.199535 0.0578154 435.071 0 0 -0.00355442 -0.00116903 347.445 6 270.472 2.39733 9600 2.07145 0.00122593 0.351537 2.10107 2.0707 0.000293643 0.351787 2.10037 2.49282 0.0840906 0.0315141 0.635202 0.000270328 0.688069 0.93644 
-1.2 131668 -2.12759 -0.00130447 -0.0606578 2.12845 -2.12762 0.00129195 -1.93926 2.8788 0.0288818 0.0871318 0.0308056 0.0273291 0.113052 0.295972 0.257805 0.0932876 697.979 0 0 -0.00548113 -0.0011951 370.866 9 255.96 2.40328 9600 3.81772 0.00196705 0.527218 3.85395 3.8167 0.000569059 0.527665 3.85301 5.37603 0.135296 0.0691346 1.23029 0.00050235 1.05505 1.62073 
-1.6 165396 -3.63296 -0.00191378 -0.000387837 3.63296 -3.63296 0.00189827 -2.66623 4.50635 0.0508652 0.182014 0.0544879 0.045167 0.168545 0.41634 0.324581 0.139319 1001.75 0 0 -0.00736749 -0.000701371 379.447 10 250.937 2.43356 9600 6.21608 0.00286656 0.702817 6.25568 6.21495 0.000988576 0.703509 6.25464 7.84961 0.193277 0.100019 2.10241 0.000785463 1.44377 2.55042 
