applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 14679.7 -0.00175666 -6.63254e-06 -0.00782811 0.00802279 -0.00168493 4.16673e-05 -0.158818 0.158827 0.000327749 0.000771243 0.000345136 0.000260849 0.00851946 0.0325939 0.0800545 0.0101359 65.4638 0 0 -0.000462715 -0.000268738 331.187 6 257.693 0.0617969 9600 0.0996427 0.000148242 0.0439655 0.108911 0.09952 2.702e-05 0.0439865 0.108807 0.526698 0.011868 0.00949629 0.000308703 3.72419e-05 0.0880623 0.0880629 
-0.2 29320.3 -0.00823067 -4.54515e-05 -0.0150887 0.0171876 -0.00821299 8.08874e-05 -0.318226 0.318332 0.00132768 0.00309476 0.00140177 0.00108063 0.0170676 0.0653352 0.114306 0.0203097 131.134 0 0 -0.000929532 -0.000525444 339.083 6 265.68 0.0530795 9600 0.209149 0.000290536 0.0879325 0.226882 0.208905 4.7301e-05 0.0879759 0.226674 0.785937 0.0239325 0.0141768 0.00318232 7.40898e-05 0.176408 0.176437 
-0.3 43908.8 -0.0201566 -8.76984e-05 -0.0216774 0.0296008 -0.0201284 0.000120673 -0.478303 0.478727 0.0030238 0.00698888 0.00320166 0.00258047 0.0256282 0.0982455 0.141361 0.0305287 197.062 0 0 -0.00140088 -0.00076882 336.481 6 264.043 0.0493566 9600 0.329776 0.000435626 0.131897 0.355175 0.329414 7.11536e-05 0.131965 0.354863 1.01492 0.0362015 0.0183797 0.00925281 0.000110158 0.265077 0.265238 
-0.4 58437.1 -0.0390851 -0.000131129 -0.027414 0.0477409 -0.0390541 0.000164606 -0.639233 0.640425 0.00544263 0.0124598 0.00577938 0.0047399 0.0341764 0.131263 0.164833 0.040773 263.118 0 0 -0.00187762 -0.000997232 338.721 6 265.978 0.0496631 9600 0.463836 0.000588011 0.17586 0.496055 0.463356 0.000103624 0.175954 0.49564 1.30368 0.0486821 0.023721 0.0193834 0.000148451 0.354153 0.354684 
-0.5 72903.8 -0.0708461 -0.000309762 -0.0316625 0.0776001 -0.0728854 7.30573e-05 -0.801755 0.805061 0.00861664 0.0194738 0.00918226 0.00756166 0.0426996 0.164221 0.186138 0.0509863 328.938 0 0 -0.00236336 -0.00120799 386.66 10 265.764 0.0484409 9600 0.619107 0.000923048 0.219825 0.656976 0.618513 0.00025594 0.219944 0.656455 1.68059 0.0613864 0.0307144 0.0380979 0.000204698 0.443963 0.445595 
-0.6 87275 -0.105773 -0.000227766 -0.0354266 0.111548 -0.105747 0.000259819 -0.964555 0.970334 0.012558 0.0281033 0.0134139 0.0103141 0.0516975 0.197394 0.205848 0.0612654 395.151 0 0 -0.00285132 -0.00140093 341.205 6 268.609 0.0480285 9600 0.783792 0.000905546 0.263777 0.826988 0.783087 0.000181449 0.263932 0.826369 1.92816 0.0745099 0.0353444 0.0563169 0.000226863 0.533956 0.536918 
-0.7 101556 -0.159138 -0.000279069 -0.0370557 0.163395 -0.159107 0.000310985 -1.12959 1.14074 0.0173108 0.0382083 0.0185503 0.0143377 0.0608898 0.230314 0.224491 0.0714543 460.741 0 0 -0.00335093 -0.00157079 341.061 6 272.196 0.0472729 9600 0.977787 0.00107724 0.307731 1.02507 0.976974 0.000233771 0.307921 1.02435 2.24733 0.0878914 0.0413159 0.0863653 0.000267771 0.624985 0.630925 
-0.8 115722 -0.230672 -0.000345404 -0.0365562 0.233551 -0.23043 0.000366315 -1.29675 1.31707 0.0229022 0.0497507 0.0246257 0.019377 0.0702482 0.262987 0.242276 0.081558 525.739 0 0 -0.00386101 -0.0017147 336.187 6 267.354 0.048276 9600 1.20133 0.00125925 0.351681 1.25175 1.20041 0.000284828 0.35191 1.25093 2.52866 0.101513 0.0466515 0.126815 0.000311725 0.717021 0.728149 
-1 143534 -0.457826 -0.000471201 -0.0258099 0.458553 -0.457915 0.000488657 -1.64084 1.70354 0.0366852 0.0763892 0.0397275 0.0329203 0.0893675 0.326285 0.275718 0.101126 651.423 0 0 -0.00492439 -0.00190166 537.433 8 439.687 0.0460066 9600 1.77771 0.00166555 0.439565 1.83125 1.7766 0.000428678 0.439885 1.83025 6.23167 0.129163 0.116055 0.256896 0.000401981 0.905688 0.941417 
-1.2 170225 -0.862223 -0.000636255 0.0050842 0.862238 -0.862185 0.000655506 -2.00507 2.18258 0.0540149 0.105732 0.0589651 0.0487888 0.114816 0.384265 0.306507 0.125645 766.31 0 0 -0.00606144 -0.00190218 367.202 8 275.309 0.0476536 9600 2.61387 0.00212954 0.527423 2.66655 2.6126 0.000635873 0.527862 2.6654 6.23167 0.158039 0.116055 0.489504 0.000520714 1.1038 1.20747 
