applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 18443.9 0.0449156 -4.53766e-05 -0.0138432 0.0470006 0.044889 2.68999e-05 -0.15281 0.159267 0.000151885 0.00156302 0.000173638 9.7233e-05 0.0120602 0.0401338 0.0890421 0.0128022 93.3784 0 0 -0.00042224 -0.000266114 374.859 7 292.878 0.0607638 9600 0.0489209 0.000144459 0.0439617 0.0657716 0.0488089 1.18933e-05 0.0439792 0.0656999 0.578873 0.014674 0.00717636 0.0270042 3.1814e-05 0.0852413 0.0894165 
-0.2 36831.2 0.0904072 -2.96154e-05 -0.0277267 0.0945634 0.090431 6.87091e-05 -0.30559 0.31869 0.000617157 0.00631454 0.000710573 0.000417282 0.0242262 0.0806546 0.127782 0.0257404 187.686 0 0 -0.000844639 -0.000523093 382.637 6 311.722 0.0518967 9600 0.100537 0.000282423 0.0879243 0.133561 0.100314 2.52482e-05 0.0879602 0.133417 0.805874 0.0297518 0.00968108 0.0544148 6.95294e-05 0.170477 0.178951 
-0.3 55165.1 0.136367 -6.42774e-05 -0.0416153 0.142575 0.136388 9.99147e-05 -0.458368 0.478229 0.00141201 0.0143465 0.00163539 0.000901947 0.036494 0.12155 0.158691 0.038813 282.899 0 0 -0.00126731 -0.000770328 364.235 6 295.113 0.0489395 9600 0.15528 0.000419029 0.131885 0.203729 0.154949 3.51285e-05 0.131941 0.203513 1.05926 0.0452675 0.0125082 0.0820953 0.000101385 0.255721 0.268576 
-0.4 73437.9 0.182678 -9.44585e-05 -0.0554955 0.190921 0.182717 0.000132437 -0.611154 0.637883 0.00255423 0.025761 0.00297673 0.00183515 0.04886 0.16285 0.185858 0.0520282 379.085 0 0 -0.00169028 -0.00100718 366.597 6 295.402 0.0459284 9600 0.213442 0.000559712 0.175845 0.276549 0.213004 5.1644e-05 0.175921 0.276259 1.30251 0.0612473 0.0159761 0.11002 0.000133663 0.34098 0.35829 
-0.5 91649 0.228408 -0.00018527 -0.0692582 0.238677 0.228501 0.000150617 -0.764055 0.797491 0.00406549 0.0406505 0.00476505 0.00285384 0.0613172 0.204532 0.210807 0.06538 476.196 0 0 -0.00211409 -0.00123284 366.398 6 297.329 0.0475896 9600 0.276293 0.000709654 0.219802 0.35306 0.27575 6.372e-05 0.219901 0.352696 1.64641 0.0777144 0.020213 0.137659 0.000154653 0.426302 0.447977 
-0.6 109779 0.274122 -0.00010044 -0.0829573 0.286399 0.274405 0.000237341 -0.917005 0.957182 0.00595972 0.0591291 0.00703946 0.00432729 0.0738565 0.246638 0.234407 0.0788766 574.315 0 0 -0.00253827 -0.00144662 362.575 6 291.847 0.0482433 9600 0.343383 0.0009007 0.263755 0.432989 0.342738 0.000155477 0.263877 0.432551 1.96838 0.0946978 0.0242214 0.16539 0.000220203 0.511659 0.537725 
-0.7 127841 0.320816 -0.000191745 -0.0966974 0.335072 0.320834 0.00023055 -1.06995 1.11702 0.00827081 0.0813267 0.00983259 0.00613243 0.0864674 0.289203 0.257017 0.0925353 673.539 0 0 -0.00296225 -0.00164791 385.702 6 314.873 0.0465536 9600 0.414242 0.000988292 0.30771 0.516026 0.413496 0.000118422 0.307855 0.515514 2.29954 0.112264 0.0284788 0.193462 0.000222754 0.597025 0.627588 
-0.8 145829 0.365792 -0.000281943 -0.110188 0.382028 0.365884 0.000199476 -1.22312 1.27668 0.0110216 0.107343 0.0131852 0.00839822 0.099134 0.332195 0.278842 0.106347 773.802 0 0 -0.0033873 -0.00183538 392.1 8 297.098 0.0477653 9600 0.491744 0.00118554 0.351662 0.604549 0.490901 0.000167554 0.351833 0.603963 2.58409 0.130442 0.0317026 0.22076 0.000275103 0.682508 0.717323 
-1.2 216776 0.495308 -7.83079e-05 -0.157202 0.519656 0.495975 0.000565989 -1.84274 1.90832 0.0270041 0.250469 0.0332987 0.0290092 0.150086 0.507141 0.363676 0.162624 1181.97 0 0 -0.00511794 -0.00241317 430.842 11 292.734 0.0494902 9600 0.921047 0.00205159 0.527427 1.06137 0.919846 0.000645111 0.527727 1.06048 5.22883 0.209315 0.0623911 0.301124 0.000466692 1.02786 1.07106 
-1.4 251557 0.499486 -0.000541294 -0.17266 0.528486 0.499344 0.000425976 -2.16067 2.21762 0.038523 0.34542 0.0482234 0.0439531 0.179533 0.595416 0.405581 0.191047 1388.03 0 0 -0.00601403 -0.00256424 618.18 12 465.302 0.0418076 9600 1.25596 0.00221183 0.615298 1.39858 1.25461 0.000493266 0.615676 1.39753 6.75181 0.252872 0.0849815 0.305707 0.000463895 1.20448 1.24267 
-1.6 285364 0.240372 -0.000585011 -0.155475 0.286272 0.240247 0.000569232 -2.5112 2.52266 0.0528809 0.44401 0.0670625 0.0599347 0.209907 0.6749 0.446216 0.216614 1573.67 0 0 -0.00704987 -0.00247793 530.804 19 293.625 0.0476395 9600 1.97723 0.0026124 0.70313 2.09853 1.97576 0.000647076 0.703625 2.09731 6.75181 0.29482 0.0849815 0.158131 0.000497162 1.39662 1.40554 
-1.65 293407 0.051651 -0.000618259 -0.136046 0.145522 0.0516559 0.000624828 -2.61395 2.61446 0.0569449 0.463766 0.0723328 0.0630189 0.217352 0.689674 0.455459 0.221372 1608.28 0 0 -0.00736961 -0.00236546 919.341 8 827.213 0.0454755 9600 2.33051 0.00275366 0.725075 2.4407 2.32902 0.000730536 0.725616 2.43944 8.74668 0.303161 0.109002 0.0494506 0.000496828 1.45182 1.45266 
-1.7 301083 -0.216248 -0.000355687 -0.107095 0.241314 -0.214325 0.00130646 -2.72615 2.73456 0.0611736 0.479223 0.077727 0.0654344 0.224535 0.700921 0.463984 0.225035 1634.82 0 0 -0.0077199 -0.00219658 557.689 22 293.865 0.0468268 9600 2.79202 0.00343702 0.747013 2.89022 2.79053 0.00142475 0.747613 2.88894 8.74668 0.310178 0.109002 0.104228 0.000942448 1.5115 1.51509 
-1.75 307843 -0.67455 -0.00093375 -0.0555514 0.676834 -0.675343 0.000693258 -2.86119 2.93981 0.0654667 0.482811 0.0829674 0.0654344 0.23164 0.703192 0.470503 0.231639 1640.83 0 0 -0.00814286 -0.00190736 554.798 21 293.955 0.0459278 9600 3.50806 0.00341326 0.768943 3.59135 3.50659 0.00110702 0.769607 3.59006 8.74668 0.312916 0.109002 0.370778 0.000540329 1.58191 1.62478 
-1.8 313322 -1.28988 -0.000989739 0.0138071 1.28996 -1.29022 0.000921342 -3.01383 3.27839 0.0697153 0.482811 0.0878307 0.0654344 0.25406 0.703192 0.475036 0.249228 1640.83 0 0 -0.00859216 -0.00152438 569.596 22 292.696 0.0483668 9600 4.42268 0.00352101 0.790848 4.49283 4.42125 0.0011351 0.791599 4.49156 8.82856 0.318817 0.109737 0.72673 0.000698083 1.66056 1.81262 
-1.825 315626 -1.61906 -0.000986459 0.0505291 1.61985 -1.61815 0.000948121 -3.09216 3.48996 0.0718087 0.482811 0.0901132 0.0654344 0.265327 0.703192 0.476798 0.258821 1640.83 0 0 -0.00880436 -0.00132207 891.681 18 665.232 0.0439622 9600 4.90291 0.00358112 0.801797 4.96804 4.9015 0.00119257 0.802594 4.96678 9.63225 0.328015 0.119014 0.916631 0.000739001 1.70081 1.93209 
-1.85 317484 -1.98471 -0.00111323 0.0911187 1.9868 -1.98482 0.0010777 -3.17446 3.74389 0.076784 0.49779 0.092247 0.0654344 0.277052 0.703192 0.478 0.269304 1651.37 0 0 -0.0090146 -0.00110199 345.164 7 265.377 0.0462931 9600 5.42652 0.00377486 0.812747 5.48705 5.42515 0.00127528 0.813585 5.48581 9.63225 0.337466 0.119753 1.12894 0.000808418 1.74287 2.07656 
-1.875 319764 -2.24563 -0.00011959 0.119396 2.2488 -2.23719 0.00320394 -3.24401 3.94064 0.0819602 0.530049 0.0946096 0.0654344 0.286237 0.703192 0.480205 0.278483 1701.79 0 0 -0.00917758 -0.00093984 732.924 37 278.522 0.0469163 9600 5.81193 0.005664 0.823661 5.87001 5.81058 0.003458 0.824558 5.8688 9.95143 0.34555 0.122602 1.2753 0.00221694 1.77901 2.1889 
-1.9 320642 -2.68376 -0.00128495 0.167423 2.68898 -2.6838 0.00123986 -3.3341 4.28007 0.0892459 0.575264 0.0962558 0.0654344 0.298693 0.703192 0.480205 0.290588 1769.06 0 0 -0.0093796 -0.000688548 452.006 15 263.69 0.0461111 9600 6.41939 0.00404556 0.834641 6.47342 6.41808 0.00143632 0.835557 6.47224 10.3757 0.355351 0.127273 1.53375 0.000925566 1.82457 2.38358 
-1.925 321823 -3.03934 -0.00133362 0.205638 3.04629 -3.03953 0.00129686 -3.41399 4.571 0.0955585 0.615797 0.098274 0.0654344 0.309077 0.705762 0.480687 0.301906 1827.15 0 0 -0.00954312 -0.000484318 356.152 7 270.102 0.045623 9600 6.91641 0.00416926 0.845589 6.96791 6.91514 0.00151058 0.846542 6.96677 10.7397 0.364028 0.132123 1.73979 0.000967402 1.8654 2.5508 
-1.95 322989 -3.36935 -0.00139013 0.240634 3.37794 -3.36765 0.0013959 -3.49057 4.85028 0.101568 0.65531 0.105397 0.0654344 0.318649 0.719233 0.481952 0.313221 1881.82 0 0 -0.00968824 -0.000296308 414.026 12 267.707 0.0458517 9600 7.37751 0.00421843 0.856526 7.42706 7.37627 0.00157903 0.857517 7.42595 11.065 0.372231 0.134634 1.92982 0.00104854 1.90468 2.71145 
-1.975 323760 -3.72116 -0.00144265 0.27764 3.7315 -3.72141 0.00148903 -3.56932 5.15644 0.107793 0.697158 0.112984 0.0654344 0.328269 0.732406 0.491336 0.3251 1937.75 0 0 -0.00982626 -0.000101804 366.547 8 272.998 0.0471122 9600 7.86158 0.00432634 0.867484 7.9093 7.86038 0.00165744 0.868504 7.90822 11.4007 0.380421 0.138619 2.13474 0.00110336 1.94488 2.88785 
-2 324643 -4.03906 -0.00148825 0.310608 4.05098 -4.03891 0.00165207 -3.64394 5.43977 0.113614 0.737226 0.120222 0.0654344 0.337019 0.744403 0.49986 0.336417 1989.64 0 0 -0.00994777 7.34802e-05 360.915 8 264.943 0.0467384 9600 8.30059 0.0044852 0.878429 8.34694 8.29942 0.00179109 0.87948 8.34589 11.7146 0.388112 0.142507 2.31864 0.00121376 1.98317 3.05107 
-2.05 326003 -4.66388 -0.00169541 0.374355 4.67888 -4.66393 0.00163948 -3.79102 6.01033 0.125 0.818232 0.134507 0.0654344 0.353505 0.766572 0.515715 0.360758 2090.01 0 0 -0.0101618 0.000409155 609.325 6 540.895 0.0454448 9600 9.15482 0.0046945 0.900328 9.19899 9.15372 0.00185065 0.901434 9.198 13.7555 0.403014 0.169958 2.68065 0.00122294 2.05864 3.37992 
-2.1 327183 -5.24378 -0.00203599 0.432227 5.26156 -5.24539 0.00159012 -3.93232 6.5557 0.135751 0.898053 0.148132 0.0678848 0.368395 0.786283 0.529799 0.387539 2183.8 0 0 -0.0103387 0.00071415 452.503 16 266.402 0.0452037 9600 9.94542 0.00524931 0.922227 9.98809 9.94438 0.00225586 0.923374 9.98716 13.7555 0.417831 0.169958 3.0174 0.00119812 2.13133 3.69422 
-2.15 327894 -5.82175 -0.00188587 0.488625 5.84222 -5.82183 0.00189538 -4.07196 7.10454 0.146204 0.97904 0.161502 0.0735317 0.382317 0.804593 0.542804 0.413982 2274.41 0 0 -0.0104889 0.00100633 370.123 7 290.005 0.0457212 9600 10.7191 0.00498575 0.944126 10.7606 10.7182 0.00205801 0.945325 10.7598 13.7555 0.431943 0.169958 3.35131 0.00141668 2.20315 4.01063 
-2.2 328583 -6.35875 -0.00221373 0.539887 6.38163 -6.35898 0.0019058 -4.20658 7.62443 0.156058 1.05892 0.174209 0.0735317 0.394993 0.82129 0.554536 0.439331 2360.08 0 0 -0.0106137 0.00127354 384.452 8 290.094 0.0466436 9600 11.4377 0.00535845 0.96603 11.4784 11.4367 0.00234345 0.967267 11.4776 13.8557 0.445205 0.169958 3.66241 0.00143625 2.27257 4.3102 
-2.25 329110 -6.87481 -0.00222448 0.588135 6.89993 -6.87501 0.0020505 -4.33815 8.12929 0.165483 1.13854 0.186449 0.0815037 0.406746 0.836421 0.565363 0.463949 2441.87 0 0 -0.0107188 0.00152477 369.442 6 296.69 0.0458711 9600 12.1234 0.00538788 0.987932 12.1636 12.1226 0.00237266 0.989205 12.1629 14.2729 0.458937 0.172995 3.9613 0.00154527 2.34051 4.60107 
-2.3 329513 -7.37058 -0.00253252 0.633522 7.39775 -7.37077 0.00207033 -4.46687 8.61865 0.1745 1.21772 0.198244 0.107642 0.417683 0.850232 0.575392 0.487915 2520.21 0 0 -0.0108066 0.00176124 368.338 7 288.278 0.0454031 9600 12.7787 0.00570228 1.00984 12.8185 12.7779 0.00262462 1.01114 12.8178 14.6729 0.472761 0.177387 4.24842 0.00157148 2.40707 4.88293 
-2.35 329989 -7.83594 -0.00267552 0.675214 7.86497 -7.83459 0.00164652 -4.5917 9.08099 0.18306 1.29558 0.209485 0.135476 0.427807 0.862953 0.584597 0.511019 2594.64 0 0 -0.0108801 0.0019812 794.41 42 287.79 0.0468869 9600 13.3931 0.00637029 1.03171 13.4327 13.3923 0.00313349 1.03306 13.4321 14.6729 0.485825 0.177387 4.51699 0.00130285 2.47178 5.14907 
-2.4 330088 -8.30649 -0.0024783 0.716663 8.33735 -8.30681 0.00235913 -4.71667 9.55249 0.204155 1.37449 0.220856 0.16674 0.451714 0.874401 0.593319 0.533896 2667.49 0 0 -0.0109419 0.0021973 359.012 6 287.826 0.0462652 9600 14.0073 0.00566911 1.05365 14.0468 14.0066 0.00263236 1.05501 14.0462 15.234 0.498464 0.182991 4.79054 0.00178844 2.53649 5.42062 
-2.6 330500 -10.007 -0.00271848 0.859113 10.0438 -10.0073 0.00271831 -5.19245 11.2742 0.318195 1.68385 0.263821 0.309219 0.563938 0.980329 0.62688 0.619756 2934.02 0 0 -0.0110966 0.00295906 524.172 18 291.575 0.0458324 9600 16.212 0.00592172 1.14128 16.2521 16.2115 0.00292751 1.14273 16.2517 17.8752 0.544538 0.218839 5.77536 0.00207824 2.7838 6.41127 
-2.8 330312 -11.535 -0.00301274 0.97762 11.5764 -11.5349 0.00303258 -5.64428 12.8418 0.439579 1.99209 0.302623 0.478907 0.66284 1.18191 0.656519 0.70334 3176.41 0 0 -0.0111532 0.00361987 420.311 11 287.344 0.0460933 9600 18.1654 0.0061271 1.22892 18.207 18.1651 0.00322109 1.23044 18.2067 19.0454 0.585468 0.231114 6.66 0.002338 3.01952 7.31253 
-3 329810 -12.9299 -0.00334521 1.07798 12.9748 -12.9296 0.00320058 -6.07796 14.287 0.565037 2.2998 0.337891 0.67125 0.751512 1.37096 0.681412 0.786071 3397.2 0 0 -0.0111506 0.00421232 983.936 45 285.918 0.0462695 9600 19.9304 0.0064558 1.31657 19.9738 19.9302 0.00362913 1.31815 19.9737 19.2633 0.621722 0.231984 7.46763 0.00249693 3.24646 8.14279 
-3.2 329054 -14.2244 -0.00354557 1.16444 14.272 -14.2244 0.00352935 -6.49777 15.6382 0.693074 2.60548 0.370267 0.883775 0.832329 1.5502 0.702939 0.864306 3601.25 0 0 -0.0111119 0.00475773 398.238 9 288.885 0.0452109 9600 21.5527 0.00647534 1.40422 21.5984 21.5527 0.00381951 1.40585 21.5985 19.7372 0.654381 0.238035 8.21735 0.00276384 3.46669 8.91868 
-3.4 328212 -15.4329 -0.00382581 1.23936 15.4826 -15.4333 0.00373804 -6.90602 16.908 0.822165 2.9095 0.400276 1.114 0.906551 1.72112 0.721937 0.938911 3875.27 0 0 -0.01105 0.00526785 436.191 12 286.039 0.0461027 9600 23.0569 0.0066405 1.49189 23.1051 23.057 0.00412976 1.49356 23.1053 19.8897 0.684167 0.238035 8.91734 0.00294932 3.68135 9.64735 
-3.6 327219 -16.5762 -0.00395703 1.30503 16.6275 -16.5765 0.00400053 -7.30502 18.1147 0.952111 3.41047 0.428343 1.36114 0.975582 1.88549 0.738988 1.01402 4261.33 0 0 -0.0109739 0.00575194 400.128 9 289.604 0.0454519 9600 24.4682 0.00661611 1.57955 24.5191 24.4684 0.00429969 1.58126 24.5194 20.1451 0.711589 0.238441 9.57924 0.00316806 3.8915 10.3395 
