applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 10384.5 -0.0128881 0.00213353 -0.0430102 0.0449503 -0.0134127 0.00195274 -0.123235 0.123978 0.000212445 0.000274714 0.000225812 0.000172234 0.00782527 0.0192352 0.0987449 0.0075675 39.5209 0 0 -0.000242906 -0.000131752 684.136 36 250.254 0.0592039 9600 0.0752539 0.00295824 0.0438317 0.0871385 0.0751914 0.00266447 0.0438467 0.0870826 0.284954 0.00879529 0.00451831 0.00803162 0.00130569 0.0683546 0.0688372 
-0.2 20882.1 -0.0262722 -0.000694219 -0.0862345 0.0901504 -0.0253526 -0.000327375 -0.247062 0.24836 0.000849698 0.00106834 0.000907529 0.000669385 0.0154173 0.0377564 0.139759 0.0151371 77.9233 0 0 -0.000487317 -0.000260151 658.799 31 268.15 0.0524228 9600 0.15329 0.000678098 0.087835 0.176673 0.153165 0.000580831 0.0878621 0.176577 0.385613 0.0173295 0.00620878 0.0149791 0.000306781 0.137015 0.137832 
-0.3 31290.4 -0.0314779 0.00164678 -0.12993 0.133699 -0.0331614 0.0018306 -0.369937 0.371425 0.0019345 0.0024115 0.00206047 0.00152882 0.0231805 0.0566433 0.172004 0.0227678 117.037 0 0 -0.000726887 -0.000385964 736.374 38 267.608 0.0475572 9600 0.224223 0.00238309 0.131712 0.260058 0.224038 0.00208728 0.131742 0.25991 0.617804 0.0264572 0.00996009 0.0197417 0.00114412 0.20523 0.20618 
-0.4 41724.4 -0.0456008 2.17524e-05 -0.172758 0.178675 -0.0462751 0.00141716 -0.493918 0.496083 0.00343515 0.00431154 0.00368632 0.00290983 0.0309636 0.0756569 0.199274 0.0304782 156.466 0 0 -0.000973188 -0.00050751 631.499 28 275.301 0.0472376 9600 0.306755 0.00123584 0.1757 0.353512 0.306508 0.00100278 0.175748 0.353321 0.770066 0.0353469 0.012432 0.0274856 0.000851804 0.273984 0.275361 
-0.5 52105.2 -0.0692928 0.000818183 -0.21435 0.225274 -0.0692374 0.00178188 -0.618875 0.622739 0.00538832 0.0068492 0.00580304 0.00444141 0.038732 0.0955918 0.223916 0.0382916 197.197 0 0 -0.00122619 -0.000624501 598.658 27 268.006 0.0465103 9600 0.40212 0.00201946 0.219606 0.458183 0.401812 0.00168323 0.219672 0.457943 0.948897 0.0440935 0.0158395 0.040994 0.00109633 0.343191 0.345633 
-0.6 62470 -0.0944273 0.000834159 -0.255739 0.272617 -0.0944498 0.00160255 -0.744061 0.750033 0.00777388 0.0099879 0.00841834 0.00631 0.0464419 0.115542 0.24634 0.0461747 238.096 0 0 -0.00148036 -0.000737233 609.673 28 273.674 0.0484286 9600 0.500882 0.00185379 0.263505 0.56597 0.500514 0.00150122 0.263588 0.565681 1.15343 0.0530866 0.0193501 0.0557279 0.000938632 0.412506 0.416254 
-0.7 72856.4 -0.111327 -0.000989216 -0.297948 0.318069 -0.108582 -0.000320721 -0.86868 0.87544 0.0106558 0.0136633 0.0115448 0.00865506 0.0542827 0.135195 0.267223 0.0541091 278.407 0 0 -0.00173063 -0.000846424 634.534 30 268.257 0.0462941 9600 0.592906 0.00103679 0.307425 0.667869 0.592478 0.000592408 0.307525 0.667535 1.36319 0.062272 0.0229188 0.0640398 0.000479752 0.4816 0.48584 
-0.8 83192.2 -0.139828 0.000560155 -0.338666 0.366397 -0.138948 0.00165564 -0.994392 1.00405 0.0139784 0.0181424 0.0152075 0.011259 0.0620837 0.155678 0.286929 0.0621638 320.754 0 0 -0.001988 -0.000949683 634.348 30 267.211 0.0485948 9600 0.700682 0.00197972 0.351322 0.783828 0.700195 0.00154707 0.351441 0.783445 1.59883 0.0715284 0.0267089 0.0818663 0.000982189 0.551178 0.557225 
-1.2 124257 -0.310952 -0.00232593 -0.494488 0.584136 -0.308834 -0.00122322 -1.50553 1.53688 0.0323424 0.0437411 0.0354053 0.0276252 0.093578 0.241641 0.357211 0.0958112 497.388 0 0 -0.00305955 -0.0013022 765.23 40 263.272 0.0471513 9600 1.22448 0.00302071 0.527024 1.33308 1.22376 0.00228198 0.527211 1.3325 2.75713 0.109145 0.0453889 0.180866 0.00135176 0.83352 0.852919 
-1.3 134407 -0.340263 0.00278756 -0.534414 0.63355 -0.336579 0.00310401 -1.63186 1.66621 0.0382145 0.0519326 0.0420042 0.0336619 0.101212 0.263044 0.373444 0.104545 541.762 0 0 -0.00331863 -0.00137985 1971.36 41 1481.95 0.0430714 9600 1.34349 0.00522552 0.570793 1.45973 1.34272 0.00425057 0.571 1.4591 4.04495 0.119595 0.0679979 0.197417 0.00194036 0.9035 0.924819 
