applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 12088.5 -0.055325 0.00103086 -0.0280458 0.0620362 -0.0523375 0.00155952 -0.138234 0.147819 0.000242798 0.000444815 0.000252455 0.00018971 0.00708981 0.0225 0.0700687 0.00688741 50.2638 0 0 -0.000336017 -0.000165326 642.125 33 260.407 0.0626162 9600 0.13694 0.00249042 0.0437896 0.143792 0.136857 0.00216825 0.043814 0.143716 0.373952 0.0100487 0.00563452 0.0304493 0.0010753 0.0762264 0.0820901 
-0.15 18230.3 -0.0567208 -0.00150638 -0.0448313 0.0723144 -0.0557094 -0.00241066 -0.204836 0.21229 0.000552969 0.000934638 0.000566983 0.000489669 0.0107499 0.0331 0.0873594 0.0103328 72.8425 0 0 -0.000486661 -0.000248342 838.905 16 648.48 0.0485769 9600 0.176602 0.00287476 0.0658928 0.188516 0.176479 0.0026376 0.0659272 0.18841 0.586484 0.0150246 0.0092221 0.0319787 0.00176099 0.11317 0.117614 
-0.2 24315.2 -0.0799108 -0.00135266 -0.0593586 0.099554 -0.0782989 -0.00140799 -0.273924 0.284898 0.000974323 0.00167399 0.00101279 0.000747659 0.0142794 0.0443253 0.100491 0.013828 97.4756 0 0 -0.000652196 -0.000328135 631.075 29 264.571 0.0484699 9600 0.241724 0.00258491 0.0879227 0.25723 0.241561 0.00232705 0.0879669 0.25709 0.586484 0.0201505 0.0092221 0.0450913 0.0011673 0.151299 0.15788 
-0.225 27337.2 -0.0927097 -0.00121533 -0.0664461 0.114069 -0.0896382 -0.000854087 -0.30846 0.321221 0.00123576 0.00212577 0.00128511 0.00100682 0.0160559 0.0499739 0.106074 0.0155646 109.838 0 0 -0.000735729 -0.000367044 1151.29 36 696.198 0.0412649 9600 0.275799 0.00228038 0.0988861 0.292999 0.275616 0.00202597 0.0989385 0.292843 0.611375 0.0226977 0.0095464 0.0516781 0.000843348 0.170359 0.178027 
-0.25 30293.4 -0.115546 -0.000777433 -0.0724227 0.136369 -0.112911 -0.000598756 -0.343816 0.361882 0.00155738 0.00265431 0.00158978 0.00133291 0.0179653 0.0559077 0.111993 0.0172414 122.725 0 0 -0.000825255 -0.000404009 509.069 20 262.753 0.0475288 9600 0.32199 0.00118809 0.109745 0.34018 0.321786 0.0010169 0.109799 0.340004 0.611375 0.0251057 0.0095464 0.06525 0.000554374 0.18976 0.200665 
-0.275 33341.6 -0.122753 -0.00171041 -0.0801052 0.146588 -0.121002 -0.002499 -0.377834 0.396744 0.00186294 0.00321999 0.00193474 0.00163328 0.0197976 0.0615657 0.118433 0.019033 135.17 0 0 -0.000905349 -0.000442764 474.116 17 275.76 0.0472774 9600 0.350407 0.00305596 0.120789 0.370654 0.350184 0.00279079 0.120849 0.370461 0.648471 0.027709 0.0101283 0.0697685 0.00185402 0.20857 0.219938 
-0.3 36377.8 -0.136928 -0.0019266 -0.0871025 0.162296 -0.139949 -0.00254341 -0.412789 0.435875 0.00220851 0.00386021 0.00232685 0.00195336 0.0217888 0.0673833 0.124765 0.020806 147.992 0 0 -0.000989209 -0.000480606 513.001 20 256.988 0.0463735 9600 0.387392 0.00344848 0.131837 0.409226 0.387149 0.00314583 0.131888 0.409009 0.703848 0.0302714 0.011119 0.0807458 0.00183134 0.227793 0.241687 
-0.325 39345.7 -0.164692 -0.000333232 -0.0926145 0.188947 -0.165252 -0.000126269 -0.448886 0.478338 0.0025919 0.00457335 0.00274383 0.0022385 0.0235191 0.0734522 0.12886 0.0225224 161.06 0 0 -0.00108286 -0.000515787 505.391 19 276.025 0.046622 9600 0.439818 0.00044665 0.142768 0.46241 0.439554 0.000147525 0.142825 0.462176 0.765489 0.0327908 0.0120952 0.0956158 0.000203677 0.247589 0.26541 
-0.35 42344 -0.175238 -0.000644598 -0.0998348 0.201683 -0.170596 -0.000577773 -0.482992 0.512235 0.00302258 0.00529583 0.00315238 0.00261955 0.0251479 0.0790687 0.133099 0.0242735 173.308 0 0 -0.00116543 -0.000552342 447.806 15 260.447 0.0481598 9600 0.471821 0.000960864 0.153678 0.496219 0.471537 0.000671539 0.153757 0.495973 0.837464 0.0353644 0.0130865 0.0986436 0.000587393 0.266465 0.284138 
-0.375 45381.5 -0.183298 -0.00151649 -0.107409 0.212455 -0.181869 -0.0013983 -0.517237 0.548281 0.00346699 0.0061008 0.00362208 0.00303854 0.0270555 0.0848102 0.138545 0.0260799 186.011 0 0 -0.00124541 -0.000589419 537.114 23 259.479 0.0495405 9600 0.501985 0.00251061 0.164707 0.528322 0.501682 0.00223813 0.164784 0.528056 0.896292 0.038011 0.0140144 0.105069 0.00116801 0.285365 0.304095 
