applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 16717 -0.00413909 -1.341e-05 -0.00521236 0.0066559 -0.0041157 3.13819e-05 -0.161442 0.161494 0.000547936 0.000901555 0.000612693 0.000506684 0.00916843 0.0361039 0.104538 0.0203352 69.9609 0 0 -0.000479203 -0.000280145 338.02 6 267.376 0.0714426 9600 0.102521 0.000153238 0.0439704 0.111553 0.102395 1.67432e-05 0.0439916 0.111445 0.546268 0.0132646 0.00558508 0.00158664 3.95729e-05 0.0894867 0.0895007 
-0.2 33392.6 -0.0118761 -5.48527e-05 -0.0099955 0.0155227 -0.0111577 -2.52395e-05 -0.323301 0.323493 0.00222125 0.00363224 0.00249307 0.00184392 0.0183641 0.0725051 0.149589 0.0408297 140.424 0 0 -0.000961736 -0.000547752 449.968 14 278.914 0.0640749 9600 0.213631 0.000311239 0.0879429 0.231024 0.21338 3.35536e-05 0.087989 0.230809 0.755149 0.0268945 0.00764928 0.00485706 9.31779e-05 0.179183 0.179248 
-0.3 49989.8 -0.0286012 -7.13275e-05 -0.0137069 0.0317161 -0.0285623 9.20319e-05 -0.486279 0.487117 0.00505455 0.00816361 0.00571345 0.00425828 0.0275512 0.108753 0.185295 0.0612314 210.518 0 0 -0.00145126 -0.000800995 345.127 6 269.91 0.0620591 9600 0.340447 0.000463848 0.131909 0.365109 0.340073 5.58848e-05 0.131978 0.364785 1.05403 0.0407613 0.0106307 0.0141034 0.000117763 0.269396 0.269765 
-0.4 66524.3 -0.0606459 -0.000167507 -0.0156623 0.0626359 -0.0652998 0.000226779 -0.65121 0.654476 0.00910235 0.0144875 0.0103553 0.00789225 0.036667 0.14497 0.216438 0.0816 280.438 0 0 -0.00195189 -0.0010371 623.136 27 269.24 0.0597149 9600 0.491407 0.00070634 0.175881 0.521935 0.490911 0.000128361 0.175967 0.521496 1.38254 0.0549203 0.0139261 0.0344719 0.000170185 0.360495 0.362139 
-0.5 82976.9 -0.0845627 -0.000139053 -0.0184654 0.0865554 -0.0845243 0.000158472 -0.814854 0.819226 0.0143771 0.0227451 0.0164765 0.0127178 0.0460788 0.181711 0.244826 0.102275 351.381 0 0 -0.00244701 -0.00125781 337.788 6 264.965 0.058777 9600 0.637232 0.000793876 0.219838 0.674087 0.636618 0.000117798 0.219964 0.673548 1.70757 0.0695806 0.0171249 0.0448265 0.000197767 0.451086 0.453308 
-0.6 99331.9 -0.131888 -0.000232484 -0.0185932 0.133193 -0.132593 9.91236e-05 -0.981439 0.990356 0.0209695 0.0327127 0.0241875 0.017696 0.055829 0.218032 0.271293 0.122699 421.388 0 0 -0.00295789 -0.00145591 431.167 13 267.384 0.059607 9600 0.818383 0.00106541 0.2638 0.859851 0.817654 0.000215744 0.263958 0.859204 2.20279 0.084452 0.0220175 0.0717936 0.000234315 0.543012 0.547737 
-0.7 115561 -0.191915 -0.00022017 -0.0172192 0.192687 -0.191904 0.000234019 -1.14944 1.16535 0.0288742 0.044445 0.0335803 0.0246407 0.0657482 0.254257 0.2964 0.143073 491.162 0 0 -0.00347635 -0.00163062 345.312 7 259.687 0.0607072 9600 1.02179 0.00115032 0.307755 1.06713 1.02095 0.000204257 0.30795 1.06638 2.44745 0.0996701 0.0244729 0.105303 0.000281841 0.63562 0.644283 
-0.8 131643 -0.275053 -0.000263925 -0.0131941 0.275369 -0.275041 0.000277972 -1.32013 1.34848 0.0381631 0.0577614 0.0447492 0.0327547 0.0758347 0.289983 0.320422 0.163173 559.908 0 0 -0.00400808 -0.00177621 345.173 7 261.286 0.0609703 9600 1.26138 0.00134429 0.351707 1.3095 1.26043 0.000263431 0.351943 1.30865 2.85274 0.115124 0.0284844 0.152599 0.000327191 0.729488 0.745279 
-1 163160 -0.536345 -0.000383802 0.00566095 0.536375 -0.536386 0.000375339 -1.67233 1.75625 0.0610022 0.0882975 0.0727728 0.0523533 0.0964176 0.358771 0.365784 0.201956 692.184 0 0 -0.00511886 -0.00195597 663.183 12 509.54 0.0590103 9600 1.88475 0.00178734 0.439596 1.93534 1.8836 0.00040604 0.439929 1.9343 5.23197 0.146478 0.0519159 0.30231 0.000423254 0.922304 0.970585 
-1.2 193164 -1.00486 -0.000508028 0.0476565 1.00599 -1.00472 0.00051559 -2.04764 2.28086 0.0895155 0.121171 0.108763 0.0774328 0.126091 0.420222 0.419384 0.236981 810.659 0 0 -0.00631178 -0.00192466 373.231 9 259.515 0.0606711 9600 2.80742 0.00228516 0.527451 2.85654 2.80611 0.0006251 0.527911 2.85533 5.70497 0.180832 0.0565483 0.572088 0.000548433 1.12591 1.26292 
