applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 17273.6 -0.13484 -5.19884e-05 0.00631932 0.134988 -0.135024 3.03497e-05 -0.172986 0.219444 0.000526789 0.000925424 0.000550639 0.000513698 0.0100971 0.0342499 0.0826114 0.0103774 72.4906 0 0 -0.0005454 -0.000257944 350.588 8 259.758 0.0591877 9600 0.245557 0.000184639 0.0439717 0.249463 0.245425 3.59173e-05 0.0440015 0.249338 0.807632 0.0142375 0.00888479 0.0775202 3.47511e-05 0.0945202 0.122243 
-0.2 34376.4 -0.285835 -9.444e-05 0.0141489 0.286185 -0.28586 7.92972e-05 -0.347472 0.449948 0.00212199 0.0037923 0.00221588 0.00206458 0.0208041 0.0693829 0.117478 0.020911 146.675 0 0 -0.00109915 -0.000494357 344.74 7 260.617 0.0502384 9600 0.516206 0.000349804 0.0879413 0.523644 0.515944 6.04605e-05 0.0880048 0.523396 1.12967 0.0287257 0.0123221 0.164209 8.52687e-05 0.189721 0.250916 
-0.3 51231.3 -0.456419 -0.000148735 0.0237944 0.457039 -0.456418 0.000132922 -0.523782 0.694741 0.00479015 0.00876348 0.00502386 0.00465781 0.0322053 0.105515 0.144837 0.0316405 222.838 0 0 -0.00166209 -0.000705921 354.485 8 260.285 0.0479949 9600 0.816643 0.000534059 0.131908 0.827228 0.816255 0.000100475 0.132009 0.826861 1.51917 0.0436225 0.0164882 0.262331 0.000135212 0.285744 0.387901 
-0.4 67805.9 -0.649306 -0.000207619 0.0354852 0.650275 -0.649292 0.000192133 -0.702141 0.956337 0.00854717 0.0160377 0.00897789 0.00827427 0.044367 0.142715 0.168111 0.0426259 301.243 0 0 -0.00223436 -0.000889134 354.159 8 259.566 0.0473217 9600 1.15068 0.000727523 0.175872 1.16404 1.15017 0.000149371 0.176013 1.16356 1.88458 0.0591306 0.0203526 0.373392 0.000188766 0.382687 0.534669 
-0.5 84023.5 -0.868042 -0.000268368 0.0495192 0.869454 -0.868041 0.000251496 -0.88284 1.2381 0.0133884 0.0258585 0.0140987 0.0130895 0.0573653 0.181049 0.188886 0.0539325 382.189 0 0 -0.00281586 -0.00103995 354.135 8 256.592 0.0472306 9600 1.52309 0.000928938 0.219829 1.53887 1.52247 0.00020689 0.220015 1.53828 2.42116 0.0751915 0.0261129 0.499462 0.000243762 0.480679 0.693192 
-0.6 99831.3 -1.11594 -0.000336395 0.0661529 1.1179 -1.11593 0.000322188 -1.06614 1.54336 0.0193003 0.0385141 0.0203657 0.0187759 0.0712635 0.220542 0.207702 0.0656405 465.954 0 0 -0.00340574 -0.00115417 352.127 8 257.14 0.0495836 9600 1.93828 0.00114088 0.263782 1.95615 1.93755 0.000273918 0.264017 1.95545 2.71954 0.0918399 0.0292788 0.642437 0.000304471 0.579836 0.86541 
-0.7 115119 -1.39702 -0.000408081 0.0856946 1.39965 -1.39702 0.000389038 -1.25235 1.87617 0.0262517 0.0543484 0.0277742 0.0253257 0.0861166 0.261186 0.228006 0.077852 552.837 0 0 -0.00400247 -0.00122738 360.929 8 263.724 0.0479548 9600 2.40131 0.00136867 0.307724 2.42094 2.40047 0.000355961 0.308014 2.42015 3.47404 0.109102 0.0373163 0.804674 0.000364995 0.68028 1.0537 
-0.8 129817 -1.71451 -0.000482093 0.108353 1.71793 -1.71456 0.000498847 -1.44168 2.24013 0.034201 0.0737456 0.0362523 0.0327048 0.101947 0.302895 0.250776 0.0906835 643.053 0 0 -0.0046033 -0.00125571 391.134 11 259.61 0.0488949 9600 2.91601 0.00158361 0.351665 2.93714 2.91509 0.000448796 0.352014 2.93627 4.06098 0.126994 0.0435566 0.988072 0.000449736 0.78211 1.26015 
-1 156967 -2.46837 -0.000670709 0.163443 2.47377 -2.46813 0.000636254 -1.8301 3.07261 0.0527589 0.124876 0.0562058 0.0494961 0.136394 0.388664 0.296302 0.11917 833.79 0 0 -0.00579876 -0.00116696 673.317 13 517.869 0.0464872 9600 4.10951 0.00213697 0.439512 4.13295 4.10845 0.000677151 0.439995 4.13195 8.79444 0.164545 0.0938283 1.42363 0.000569609 0.99004 1.73404 
-1.2 180448 -3.38642 -0.000845487 0.231081 3.3943 -3.38635 0.000851976 -2.23107 4.05525 0.074184 0.195024 0.079377 0.0680935 0.173778 0.475166 0.34127 0.152065 1037.24 0 0 -0.00694376 -0.000883865 370.09 9 265.525 0.0479685 9600 5.51911 0.00263493 0.527312 5.54424 5.51797 0.00091053 0.527941 5.54317 8.79444 0.203931 0.0938283 1.95481 0.000752913 1.20335 2.2955 
