applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 17232.3 -0.00521174 2.89707e-05 -0.0024843 0.00577363 -0.0054257 3.71779e-05 -0.164205 0.164295 0.000455993 0.00113675 0.000475603 0.000379007 0.00999362 0.0406981 0.0825202 0.0109351 79.5647 0 0 -0.000496277 -0.000287589 351.979 8 250.276 2.35412 9600 0.106719 0.000185596 0.0439751 0.115424 0.106587 6.02508e-05 0.0439966 0.115311 0.628015 0.0140469 0.00704167 0.00220787 4.98841e-05 0.0909736 0.0910004 
-0.2 34376.6 -0.0183935 -3.39441e-05 -0.0040459 0.0188333 -0.0183884 4.20188e-05 -0.329284 0.329797 0.00184765 0.00452206 0.001932 0.00161432 0.02001 0.081234 0.117948 0.0218143 158.691 0 0 -0.000998617 -0.000560984 346.42 7 256.729 2.38694 9600 0.227181 0.000301849 0.0879477 0.24361 0.226919 4.51083e-05 0.0879946 0.243383 0.925748 0.0283313 0.0103125 0.00876115 7.6895e-05 0.18236 0.182571 
-0.3 51463.1 -0.0371341 -5.68922e-05 -0.00495927 0.0374639 -0.037126 6.50383e-05 -0.495036 0.496427 0.00421115 0.0102049 0.00441272 0.00345235 0.030039 0.122103 0.145995 0.0327766 238.389 0 0 -0.00150549 -0.000818665 337.487 7 246.463 2.37534 9600 0.359656 0.000459814 0.131918 0.383086 0.359266 7.65334e-05 0.131992 0.382746 1.22417 0.0429256 0.0136644 0.0186412 0.000116297 0.27407 0.274703 
-0.4 68467.1 -0.0645068 -8.18582e-05 -0.00487418 0.0646907 -0.0645025 8.82333e-05 -0.661788 0.664924 0.00758528 0.0181799 0.00796624 0.00640346 0.0400398 0.163069 0.170388 0.0437557 318.181 0 0 -0.00201862 -0.00105853 350.38 7 262.244 2.37788 9600 0.508111 0.00062345 0.175886 0.537693 0.507597 0.000112212 0.175989 0.53724 1.5293 0.0579358 0.017109 0.0335083 0.000155542 0.366253 0.367782 
-0.5 85374.8 -0.103041 -0.000110549 -0.00350671 0.103101 -0.10303 0.000115466 -0.829823 0.836195 0.012011 0.0284254 0.0126423 0.0102896 0.0499609 0.204027 0.192532 0.0547232 397.858 0 0 -0.00253925 -0.00127801 374.19 8 269.709 2.36066 9600 0.676189 0.000794704 0.219852 0.711033 0.675553 0.000155222 0.219987 0.710469 1.90356 0.0732927 0.0213265 0.0548205 0.000197037 0.459043 0.462304 
-0.6 102162 -0.155941 -0.000133914 -0.000492481 0.155942 -0.155937 0.000144471 -0.999504 1.01159 0.017529 0.0408965 0.0184967 0.0154476 0.0602164 0.24487 0.213161 0.0656499 477.214 0 0 -0.00306888 -0.00147398 355.116 7 271.368 2.3514 9600 0.868496 0.000970869 0.263812 0.90768 0.867741 0.000208675 0.263983 0.907007 2.26661 0.0889752 0.0254409 0.0844498 0.000239488 0.552608 0.559024 
-0.7 118812 -0.227524 -0.000172489 0.00464191 0.227571 -0.227515 0.00017599 -1.17131 1.1932 0.0241811 0.0554866 0.0255821 0.0228025 0.07097 0.285394 0.232651 0.0764829 555.85 0 0 -0.0036093 -0.00164236 360.934 8 260.016 2.38216 9600 1.09108 0.0011621 0.30777 1.13366 1.09021 0.000265863 0.30798 1.13288 2.68045 0.104961 0.0301228 0.124888 0.000283393 0.647172 0.659112 
-0.8 135282 -0.323524 -0.000209127 0.0125355 0.323767 -0.323434 0.000216639 -1.34586 1.38418 0.0320038 0.0720412 0.0339545 0.0315911 0.0819174 0.325379 0.251264 0.0871651 633.353 0 0 -0.00416263 -0.00177804 379.703 10 248.751 2.34119 9600 1.35191 0.00135708 0.351722 1.39691 1.35093 0.000340235 0.351976 1.39603 2.79186 0.121191 0.0317364 0.179426 0.000333624 0.743028 0.764385 
-0.85 143427 -0.383486 -0.000225422 0.0178277 0.3839 -0.383392 0.000231013 -1.43448 1.48483 0.0363642 0.0809723 0.0386406 0.0364019 0.0874556 0.345054 0.260281 0.0924199 671.457 0 0 -0.00444521 -0.00183145 919.717 7 831.658 2.34832 9600 1.50046 0.00146512 0.373696 1.5463 1.49944 0.000377035 0.373974 1.54537 13.8216 0.129364 0.160016 0.213647 0.000354232 0.791585 0.81991 
-0.9 151563 -0.452314 -0.000209274 0.0240953 0.452955 -0.452487 0.000264386 -1.52412 1.58987 0.0410336 0.0902957 0.0436642 0.0414565 0.0930358 0.364469 0.269126 0.0976077 709.051 0 0 -0.00473175 -0.00187405 351.117 8 250.454 2.37221 9600 1.66257 0.00159488 0.395673 1.70901 1.6615 0.000454533 0.395976 1.70803 13.8216 0.137583 0.160016 0.253165 0.000388117 0.84062 0.877915 
