applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 16621.7 -0.105628 -7.73824e-05 -0.00676539 0.105845 -0.105612 7.87953e-06 -0.159834 0.191575 0.000251988 0.000842868 0.000297454 0.000214417 0.00987633 0.0308057 0.0991271 0.0143539 69.3736 0 0 -0.000462507 -0.000223599 334.972 6 261.961 0.0631911 9600 0.207349 0.000196586 0.0439403 0.211954 0.20724 5.57371e-05 0.0439653 0.211853 0.671509 0.0131779 0.0115167 0.0607335 4.42056e-05 0.0876063 0.106599 
-0.2 33141.2 -0.223191 -0.00015314 -0.0123269 0.223531 -0.223141 8.56243e-05 -0.320939 0.390888 0.00101509 0.0034479 0.00119577 0.000897729 0.0202089 0.0621156 0.140958 0.0289471 140.208 0 0 -0.000931899 -0.000432395 336.75 6 264.423 0.0511914 9600 0.433535 0.000353014 0.0878984 0.442356 0.433319 6.00746e-05 0.0879509 0.442155 0.90274 0.0267178 0.0143601 0.128374 5.27312e-05 0.175804 0.217685 
-0.3 49496.4 -0.354426 -0.000237374 -0.0164974 0.35481 -0.354467 0.000170203 -0.48343 0.599459 0.00229813 0.00794742 0.00272048 0.00200742 0.0311284 0.0939633 0.174372 0.0438333 212.681 0 0 -0.00140847 -0.00062434 346.029 6 271.942 0.0480835 9600 0.68103 0.000517572 0.131853 0.693677 0.680709 7.1851e-05 0.131935 0.693377 1.2691 0.0406733 0.0208282 0.204013 8.96762e-05 0.264637 0.334146 
-0.4 65664.3 -0.501243 -0.000318558 -0.0190889 0.501606 -0.501222 0.000246862 -0.64751 0.818836 0.00411215 0.0145018 0.00488897 0.00372596 0.0426635 0.12636 0.203127 0.0590755 287.003 0 0 -0.0018927 -0.000797257 338.157 6 270.71 0.0487141 9600 0.952588 0.00068463 0.175807 0.968676 0.952165 9.43244e-05 0.175922 0.968281 1.65467 0.0550764 0.0275729 0.288592 0.000133317 0.354206 0.456889 
-0.5 81605.6 -0.665815 -0.000408587 -0.0198948 0.666112 -0.665798 0.00033246 -0.81337 1.05112 0.00646324 0.0233039 0.00772518 0.00609448 0.0548733 0.159312 0.229923 0.0747546 363.397 0 0 -0.00238478 -0.000948697 347.885 6 278.783 0.0463427 9600 1.25121 0.000861815 0.219757 1.27036 1.25068 0.000126398 0.219908 1.26987 2.06396 0.0699643 0.0346496 0.383508 0.00017933 0.44459 0.587144 
-0.6 97280.1 -0.850569 -0.000502576 -0.018685 0.850774 -0.850546 0.000427708 -0.981247 1.29857 0.00935653 0.0345865 0.0112522 0.00861904 0.0678181 0.192809 0.258308 0.0909716 442.11 0 0 -0.00288482 -0.00107594 342.311 6 273.016 0.0478644 9600 1.58024 0.00104522 0.263703 1.60209 1.57962 0.000165109 0.263893 1.60151 2.50908 0.0853783 0.0425045 0.490124 0.000230748 0.535898 0.726229 
-0.7 112645 -1.05828 -0.000598704 -0.0152004 1.05839 -1.05823 0.000523151 -1.15139 1.56383 0.0127935 0.0486301 0.0154844 0.0120977 0.0815579 0.226822 0.286332 0.107977 523.418 0 0 -0.00339263 -0.00117603 343.094 6 271.481 0.0477314 9600 1.94335 0.00124538 0.307643 1.96755 1.94264 0.000218631 0.307875 1.96689 2.98509 0.101361 0.0509469 0.610043 0.000282085 0.628245 0.875696 
-0.8 127583 -1.29138 -0.000734199 -0.00922123 1.29142 -1.29145 0.000526174 -1.324 1.84954 0.0167689 0.0657518 0.0203932 0.0155287 0.0961351 0.261261 0.314301 0.125956 607.53 0 0 -0.0039072 -0.00124599 344.965 6 275.506 0.0476953 9600 2.34379 0.00148772 0.351569 2.37001 2.343 0.000307581 0.351847 2.36927 3.46302 0.117942 0.0598408 0.744784 0.00028689 0.721707 1.03709 
-1.2 182252 -2.53461 -0.00113473 0.0443855 2.535 -2.53467 0.00117163 -2.04434 3.25636 0.0378061 0.173306 0.0639292 0.0321756 0.163291 0.400239 0.429792 0.215718 976.487 0 0 -0.00599852 -0.00116988 376.957 9 268.407 0.0485533 9600 4.38559 0.00229352 0.527266 4.41717 4.38453 0.000587383 0.527768 4.41618 7.77561 0.19077 0.12811 1.46382 0.00065134 1.10917 1.83658 
-1.6 224917 -4.31185 -0.00169902 0.145772 4.31432 -4.31177 0.0016727 -2.81238 5.14789 0.0759346 0.363851 0.151769 0.0641642 0.240743 0.526117 0.546812 0.344885 1393.62 0 0 -0.00794324 -0.000507841 385.007 11 252.001 0.0482847 9600 7.12975 0.00326726 0.702827 7.16431 7.1286 0.000999472 0.703597 7.16324 11.6027 0.272024 0.194961 2.49271 0.000949217 1.51798 2.91854 
-2 253905 -6.4631 -0.00222787 0.273967 6.46891 -6.46309 0.00225568 -3.60733 7.40164 0.234799 0.648999 0.282462 0.186729 0.345865 0.668435 0.653656 0.510667 1828.5 0 0 -0.00944105 0.000516391 420.788 11 280.592 0.0479843 9600 10.2783 0.00420267 0.878312 10.3158 10.2772 0.00151185 0.87934 10.3148 15.1609 0.355854 0.257422 3.73886 0.00131653 1.93813 4.21134 
