applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 16813 0.0394362 -4.63342e-06 -0.00568722 0.0398441 0.0392897 1.36714e-05 -0.160994 0.165719 0.00061227 0.00123029 0.000635226 0.00046901 0.00943067 0.0479602 0.0817754 0.0121157 82.685 0 0 -0.000480119 -0.000297521 369.214 8 273.69 0.0587226 9600 0.0581169 0.000141476 0.0439755 0.0728797 0.0579826 2.82947e-05 0.0439948 0.0727841 0.506394 0.0148984 0.00854708 0.0237345 3.72372e-05 0.0896389 0.0927279 
-0.2 33573.2 0.07959 -1.21695e-05 -0.0114596 0.0804108 0.0794795 1.44657e-05 -0.321885 0.331553 0.00248024 0.00496854 0.0025773 0.00197698 0.0189371 0.0964362 0.116992 0.024351 166.164 0 0 -0.000960716 -0.000583523 354.418 8 258.447 0.0517858 9600 0.119333 0.000278748 0.0879494 0.148241 0.119066 5.02498e-05 0.0879897 0.14805 0.800556 0.0302632 0.0131278 0.0480122 7.29892e-05 0.179237 0.185556 
-0.25 41977.7 0.0886148 -8.61123e-05 -0.013065 0.0895728 0.0907774 1.64101e-05 -0.403382 0.41347 0.00391271 0.00776638 0.00406638 0.00323174 0.0236907 0.120625 0.131579 0.0304479 207.745 0 0 -0.0012082 -0.000721106 500.343 7 417.027 0.0439383 9600 0.162527 0.000364662 0.109935 0.196217 0.162195 7.45252e-05 0.109996 0.195975 1.05063 0.0380604 0.0168367 0.0550533 9.22646e-05 0.22453 0.231181 
-0.3 50249.8 0.134115 -4.03662e-05 -0.0188915 0.135439 0.132403 2.66815e-05 -0.481255 0.499136 0.0056369 0.0114602 0.00591433 0.00480194 0.0285525 0.146512 0.145345 0.0369823 252.358 0 0 -0.0014331 -0.000858328 476.767 18 256.038 0.0508111 9600 0.169589 0.000433776 0.131925 0.21486 0.169193 9.01096e-05 0.13198 0.214581 1.05063 0.0464045 0.0168367 0.0797012 0.000104898 0.268129 0.279724 
-0.35 58606.1 0.138679 -2.24055e-05 -0.0199777 0.140111 0.138672 2.24354e-05 -0.563356 0.580172 0.00774488 0.0154185 0.00807021 0.00668481 0.0333215 0.170038 0.157508 0.0429051 292.712 0 0 -0.00168422 -0.000988814 330.182 6 256.744 0.0481747 9600 0.220465 0.000495295 0.153905 0.268872 0.220004 9.87334e-05 0.15398 0.268537 1.05063 0.0542143 0.0168367 0.0838487 0.000128942 0.313707 0.32472 
-0.4 66930.2 0.158279 -1.9299e-05 -0.0228045 0.159913 0.158335 3.00003e-05 -0.643856 0.663039 0.0101838 0.0202357 0.0106222 0.0100646 0.0381467 0.194857 0.169391 0.0491553 335.334 0 0 -0.0019259 -0.00111714 322.66 6 249.171 0.0494219 9600 0.25657 0.000567299 0.17589 0.311072 0.256046 0.000123354 0.175977 0.310689 1.14609 0.0624643 0.0177842 0.0957672 0.00014474 0.35854 0.371109 
-0.45 75217.2 0.176474 -2.91856e-05 -0.0254618 0.178301 0.176485 3.01308e-05 -0.724535 0.74572 0.0129791 0.0257098 0.0135503 0.0140696 0.0429794 0.21971 0.180745 0.0554098 377.978 0 0 -0.00216881 -0.00124167 333.571 6 259.774 0.0478795 9600 0.295553 0.000642128 0.197873 0.355677 0.294966 0.000145128 0.197973 0.355245 1.28995 0.070825 0.0200693 0.106817 0.000164039 0.403457 0.417357 
-0.5 83503.7 0.194915 -3.30356e-05 -0.0281486 0.196937 0.194975 3.40564e-05 -0.805177 0.828448 0.0161357 0.0318821 0.0168608 0.0187357 0.0478256 0.244746 0.191668 0.0617069 420.911 0 0 -0.0024117 -0.00136248 335.734 6 262.361 0.0497356 9600 0.335479 0.000718734 0.219856 0.401102 0.33483 0.000158022 0.21997 0.400621 1.43739 0.079339 0.0222253 0.11807 0.000182903 0.448359 0.463644 
-0.55 91763.4 0.211445 -3.69747e-05 -0.0306051 0.213649 0.211404 3.56422e-05 -0.886066 0.910936 0.0196725 0.0387173 0.0205698 0.0240402 0.0526704 0.2698 0.202246 0.0680042 463.84 0 0 -0.00265614 -0.00147902 376.087 9 268.934 0.0478551 9600 0.379059 0.000796014 0.241839 0.449636 0.378348 0.000180168 0.241965 0.449104 1.5835 0.0879666 0.0245773 0.128134 0.000202327 0.493378 0.509745 
-0.6 100009 0.227445 -4.07401e-05 -0.0329963 0.229826 0.227272 4.46121e-05 -0.967022 0.99337 0.0236094 0.0462614 0.0246867 0.030024 0.0575212 0.295018 0.212546 0.0743385 507.019 0 0 -0.00290111 -0.00159138 403.98 11 273.254 0.0476422 9600 0.424642 0.000870748 0.263821 0.499923 0.423871 0.000206737 0.263961 0.499341 1.77804 0.0967489 0.027898 0.13788 0.000217444 0.538431 0.555805 
-0.7 116465 0.260604 -3.75095e-05 -0.037915 0.263348 0.260818 5.00548e-05 -1.12873 1.15847 0.0325399 0.0635474 0.0341492 0.0441186 0.0672412 0.346001 0.232415 0.0871338 594.24 0 0 -0.00339035 -0.00180358 665.464 12 519.091 0.0444774 9600 0.518395 0.00102562 0.307781 0.602879 0.517505 0.000264572 0.307953 0.602202 2.38633 0.114813 0.0376427 0.158435 0.000253555 0.62845 0.648113 
-0.8 132783 0.282127 -5.34291e-05 -0.0414243 0.285152 0.282093 5.71659e-05 -1.29191 1.32235 0.0431423 0.0835104 0.0453701 0.0608717 0.0770578 0.396927 0.251541 0.0998938 681.21 0 0 -0.00388803 -0.00199434 357.122 8 259.425 0.0472242 9600 0.63275 0.00119143 0.351738 0.723943 0.631745 0.000317772 0.351941 0.723163 2.49357 0.133348 0.0393932 0.171908 0.000290269 0.719169 0.73943 
-0.825 136859 0.289487 -5.65378e-05 -0.0425392 0.292596 0.289775 5.655e-05 -1.33243 1.36357 0.0460488 0.0890634 0.0484608 0.0656021 0.0797217 0.409983 0.25626 0.103163 703.493 0 0 -0.00401093 -0.00203959 1495.19 12 1347.18 0.0434735 9600 0.65972 0.00123433 0.362726 0.752863 0.658688 0.000331268 0.36294 0.75206 2.49357 0.138156 0.0396116 0.176648 0.000300446 0.741719 0.762464 
