applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 18263.1 -0.142939 -2.18791e-05 0.0103551 0.143313 -0.142729 4.21911e-05 -0.177005 0.227381 0.000329242 0.0010067 0.00037335 0.00030418 0.01089 0.0337225 0.103324 0.0162647 75.8309 0 0 -0.000566249 -0.000273228 422.111 14 259.672 0.0584948 9600 0.254208 0.000199116 0.0439793 0.257985 0.254075 2.33756e-05 0.0440111 0.257859 0.460807 0.0145295 0.00522671 0.0817995 6.00387e-05 0.0966739 0.126637 
-0.2 36304.4 -0.303676 -4.72147e-05 0.0223273 0.304496 -0.302936 8.7253e-05 -0.355619 0.467156 0.00130606 0.00413046 0.00151109 0.00125461 0.0224346 0.0680243 0.147705 0.0328498 153.443 0 0 -0.00114117 -0.000523202 535.802 22 260.035 0.0557725 9600 0.535779 0.000406569 0.087956 0.542951 0.535516 5.64872e-05 0.0880234 0.542702 0.95059 0.0295306 0.00911454 0.173732 0.000123319 0.194073 0.260475 
-0.3 54057.4 -0.487985 -9.06068e-05 0.0364272 0.489343 -0.487815 9.15113e-05 -0.536412 0.725053 0.00295992 0.00956982 0.0034467 0.00279083 0.0347522 0.10297 0.184512 0.0498398 233.266 0 0 -0.00172678 -0.000745876 737.73 37 267.149 0.0487135 9600 0.852288 0.000582983 0.131925 0.862438 0.851898 5.42565e-05 0.132029 0.862069 1.16716 0.0450606 0.0115516 0.279945 0.00015283 0.292439 0.404833 
-0.4 71472.5 -0.696424 -0.000128192 0.0526657 0.698412 -0.696433 0.000113614 -0.719323 1.00122 0.00527681 0.0175471 0.00619908 0.00502471 0.0478787 0.138482 0.219175 0.0673481 315.398 0 0 -0.0023216 -0.00093761 374.711 9 268.114 0.050428 9600 1.20493 0.00080572 0.175889 1.2177 1.20442 9.24308e-05 0.176034 1.21722 1.87026 0.0611534 0.0177001 0.399931 0.000199785 0.391753 0.559835 
-0.5 88500.2 -0.932054 -0.000175833 0.0712723 0.934776 -0.932027 0.000144147 -0.904593 1.29883 0.00827008 0.028335 0.00978715 0.00791946 0.06188 0.174498 0.252223 0.0855123 400.091 0 0 -0.00292505 -0.00109419 405.584 11 278.868 0.0494105 9600 1.59791 0.00104241 0.219851 1.61296 1.59728 0.000147992 0.220043 1.61237 2.24399 0.0778532 0.0208637 0.535559 0.000249221 0.492116 0.727325 
-0.6 105017 -1.20104 -0.000214205 0.0927439 1.20461 -1.20104 0.000202788 -1.09274 1.62375 0.0119235 0.0422883 0.0142268 0.0111293 0.0768525 0.210947 0.284619 0.104756 487.761 0 0 -0.00353714 -0.00121032 376.646 9 272.226 0.0479556 9600 2.03901 0.00126287 0.263804 2.05601 2.03828 0.00019745 0.264048 2.05531 2.72803 0.0952052 0.0260809 0.690575 0.000319466 0.593751 0.910733 
-0.7 120966 -1.50376 -0.000242478 0.117024 1.5083 -1.50306 0.000316136 -1.28365 1.9766 0.0162223 0.0597605 0.0207375 0.0147729 0.0927852 0.247594 0.316709 0.125321 578.441 0 0 -0.00415406 -0.0012824 629.592 28 280.562 0.0473551 9600 2.52877 0.00153804 0.307754 2.54743 2.52794 0.000321742 0.308056 2.54664 3.20556 0.113222 0.0310492 0.864757 0.000429571 0.696605 1.11043 
-0.8 136158 -1.85116 -0.000315439 0.144978 1.85682 -1.85116 0.000324376 -1.47832 2.36901 0.0211129 0.081297 0.0297675 0.0186839 0.109798 0.284275 0.349172 0.148471 672.754 0 0 -0.00477571 -0.00130398 394.815 9 281.781 0.0490218 9600 3.08033 0.00175596 0.351691 3.10034 3.07941 0.00035385 0.352053 3.09947 4.09733 0.13195 0.0382463 1.06565 0.000459269 0.801093 1.33317 
-0.9 150519 -2.23903 -0.000375211 0.176081 2.24595 -2.23907 0.000378006 -1.67609 2.79691 0.0265632 0.107271 0.0414774 0.0228264 0.127733 0.320503 0.381829 0.173773 770.297 0 0 -0.00539378 -0.00127432 756.646 10 633.481 0.0467243 9600 3.68768 0.00202999 0.395617 3.70884 3.68668 0.000445569 0.396047 3.70789 10.4044 0.151319 0.0954435 1.28966 0.000525839 0.906922 1.57662 
-0.95 157422 -2.44374 -0.00038564 0.192383 2.4513 -2.44202 0.000408992 -1.77563 3.01933 0.0294873 0.121967 0.0483572 0.0249868 0.136942 0.338264 0.398029 0.187225 819.945 0 0 -0.00569778 -0.00124175 1487.18 47 912.016 0.0479221 9600 4.00645 0.0021939 0.417578 4.02816 4.00542 0.000555644 0.418048 4.02718 10.4044 0.161199 0.0954435 1.40692 0.000582721 0.960126 1.70331 
