applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-2.44141e-05 2.40824 3.51958e-05 1.82922e-06 -4.20317e-06 3.54931e-05 7.17037e-05 -8.47436e-06 -1.86132e-05 7.45634e-05 1.53066e-07 2.17657e-08 1.54293e-07 1.00908e-10 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -3.47443e-08 -3.9867e-08 1996.11 2 1973.86 0.0525732 9600 4.12362e-05 3.10079e-06 5.81178e-06 4.1759e-05 4.12493e-05 4.31685e-06 5.92734e-06 4.18959e-05 0.88092 0.000793197 0.0163705 4.02352e-05 2.99218e-06 1.09714e-05 4.18115e-05 
-4.88281e-05 4.86522 3.77359e-05 1.92317e-07 -4.48284e-06 3.80017e-05 8.17737e-05 -2.08965e-05 -5.08494e-05 9.85356e-05 1.53066e-07 2.17657e-08 1.54293e-07 1.59583e-10 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -1.21715e-07 -8.3575e-08 275.373 2 251.882 0.0515685 9600 2.33094e-05 1.5931e-05 1.2329e-05 3.0808e-05 2.33446e-05 1.69297e-05 1.2507e-05 3.14326e-05 0.88092 0.000793197 0.0163705 4.66718e-05 1.10257e-05 2.8519e-05 5.57957e-05 
-7.32422e-05 7.49856 9.84419e-05 3.10402e-06 -1.09773e-05 9.91007e-05 0.000154887 -2.65301e-05 -7.06711e-05 0.000172303 1.53066e-07 2.17657e-08 1.54293e-07 2.64822e-10 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -1.52325e-07 -1.29646e-07 269.57 2 247.821 0.0489892 9600 8.11432e-05 1.37982e-05 1.89437e-05 8.44599e-05 8.11925e-05 1.64998e-05 1.91694e-05 8.50408e-05 0.88092 0.000793197 0.0163705 8.77602e-05 1.19934e-05 4.01607e-05 9.72552e-05 
-9.76563e-05 10.3271 5.32401e-05 -6.70891e-07 -6.83066e-06 5.36807e-05 0.000131234 -4.12071e-05 -0.000109068 0.000175546 1.53066e-07 2.17657e-08 1.54293e-07 2.19039e-09 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -2.7651e-07 -1.76864e-07 277.759 2 253.41 0.0478457 9600 1.76138e-05 3.26792e-05 2.62303e-05 4.54555e-05 1.76916e-05 3.41081e-05 2.65879e-05 4.67254e-05 0.88092 0.000793197 0.0163705 7.54318e-05 2.26032e-05 6.0827e-05 9.95027e-05 
-0.00012207 13.3171 7.36845e-05 6.79021e-09 -9.31759e-06 7.42713e-05 0.000168926 -5.08436e-05 -0.000136557 0.000223089 1.53066e-07 2.17657e-08 1.54293e-07 2.19039e-09 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -3.43906e-07 -2.26093e-07 279.128 2 256.024 0.0476553 9600 2.75583e-05 3.71946e-05 3.35377e-05 5.71636e-05 2.76565e-05 3.92569e-05 3.39369e-05 5.88022e-05 0.88092 0.000793197 0.0163705 9.65591e-05 2.71614e-05 7.63085e-05 0.000126033 
-0.000146484 17.2794 8.3744e-05 -4.80992e-08 -1.08975e-05 8.44501e-05 0.000186141 -5.71144e-05 -0.000171855 0.000259701 1.53066e-07 2.17657e-08 1.54293e-07 4.66164e-09 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -4.42121e-07 -2.90183e-07 293.106 3 257.206 0.0477843 9600 1.96733e-05 4.13473e-05 4.30889e-05 6.28752e-05 1.97995e-05 4.36684e-05 4.35045e-05 6.47425e-05 0.88092 0.000793197 0.0163705 0.000106004 3.01522e-05 9.58231e-05 0.000146042 
-0.000170898 20.4095 4.37911e-05 -2.97532e-06 -7.32521e-06 4.44991e-05 0.000160034 -6.79308e-05 -0.000211917 0.000274106 1.53066e-07 2.17657e-08 1.54293e-07 4.66164e-09 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -5.68234e-07 -3.42397e-07 274.837 2 253.143 0.0500026 9600 3.94255e-05 5.56668e-05 5.1063e-05 8.52091e-05 3.92777e-05 5.69508e-05 5.15919e-05 8.63009e-05 0.88092 0.000793197 0.0163705 9.2402e-05 3.83468e-05 0.000117462 0.000154291 
-0.000195312 23.5389 4.61675e-05 -2.96713e-06 -8.10369e-06 4.69671e-05 0.000175603 -7.50664e-05 -0.000244807 0.000310486 1.53066e-07 2.17657e-08 1.54293e-07 1.2167e-08 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -6.58041e-07 -3.97138e-07 271.102 2 248.162 0.0491643 9600 5.08705e-05 6.13953e-05 5.90916e-05 9.92422e-05 5.06902e-05 6.28346e-05 5.96567e-05 0.000100382 0.88092 0.000793197 0.0163705 0.000101458 4.23091e-05 0.000135654 0.000174602 
-0.000244141 30.5878 2.78468e-05 -6.04964e-06 -7.18539e-06 2.93883e-05 0.000173099 -9.58863e-05 -0.000316537 0.000373301 1.53066e-07 2.17657e-08 1.54293e-07 1.2167e-08 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -8.64866e-07 -5.09727e-07 602.087 3 565.752 0.0457372 9600 0.000106883 8.08374e-05 7.63095e-05 0.000154214 0.000106648 8.16488e-05 7.69529e-05 0.000154797 0.88092 0.000793197 0.0163705 0.000100698 5.52075e-05 0.000175001 0.000209317 
-0.000292969 39.9199 -4.47021e-06 -7.975e-06 -5.23818e-06 1.05367e-05 0.000135309 -9.8372e-05 -0.000403559 0.000436858 1.53066e-07 2.27031e-08 1.54293e-07 1.2167e-08 7.6001e-05 0.000389802 0.00999163 0.000357359 0.373415 0 0 -1.13214e-06 -6.58392e-07 323.537 7 239.295 0.048335 9600 0.000192218 8.65419e-05 9.86709e-05 0.000232752 0.000191913 8.65573e-05 9.92818e-05 0.000232765 0.88092 0.000793197 0.0163705 7.97525e-05 5.74827e-05 0.000222858 0.000243579 
