applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 14919.5 0.0476825 3.44772e-05 -0.0154123 0.0501115 0.0495276 -7.87971e-05 -0.150958 0.158875 0.000715934 0.000828221 0.000816388 0.000579186 0.0080979 0.0433111 0.0930701 0.0154314 67.3968 0 0 -0.000419446 -0.000264277 797.545 42 232.147 2.46013 9600 0.0415899 0.000201369 0.0439333 0.0604971 0.0414701 0.000107289 0.0439571 0.0604319 0.735811 0.0130084 0.00704265 0.0293375 4.39357e-05 0.0842373 0.0891998 
-0.2 29836.8 0.0822223 -5.83967e-05 -0.0292333 0.0872645 0.082253 7.19821e-05 -0.304094 0.315022 0.00291546 0.00322312 0.00307031 0.00250015 0.0156641 0.0855089 0.127639 0.0304555 132.954 0 0 -0.000850841 -0.000519541 314.469 6 238.317 2.36956 9600 0.102955 0.00024725 0.0879266 0.135391 0.102715 5.33429e-05 0.0879622 0.135232 0.735811 0.0260172 0.00704265 0.0490436 5.58368e-05 0.169525 0.176477 
-0.3 44704.9 0.123327 -9.01088e-05 -0.0437741 0.130865 0.123352 0.000112023 -0.456224 0.472605 0.00663056 0.00731543 0.00700067 0.00587427 0.0235754 0.128905 0.158002 0.0458948 200.299 0 0 -0.001278 -0.000765494 329.311 6 254.988 2.46571 9600 0.159641 0.000380199 0.131888 0.207074 0.159284 9.18538e-05 0.131943 0.206834 0.857782 0.0395751 0.00806446 0.0735772 8.58014e-05 0.25434 0.264769 
-0.4 59528.1 0.16381 -0.000131804 -0.0581793 0.173835 0.163852 0.00014407 -0.608482 0.630157 0.0119195 0.0131187 0.0126157 0.0107203 0.0315305 0.172735 0.18442 0.0614762 268.225 0 0 -0.00170674 -0.00100131 314.048 6 236.593 2.4669 9600 0.220772 0.000497106 0.175848 0.282246 0.220299 0.000113284 0.175923 0.281923 1.1215 0.053521 0.0105187 0.0977834 0.000109263 0.339225 0.353038 
-0.5 74311.7 0.203579 -0.000169905 -0.0724395 0.216083 0.203616 0.000181593 -0.760888 0.787661 0.0188352 0.0206763 0.0199875 0.0175951 0.039523 0.217001 0.208445 0.0771993 336.732 0 0 -0.0021371 -0.00122623 320.558 6 244.892 2.46823 9600 0.286755 0.00062599 0.219806 0.361307 0.286168 0.00014895 0.219903 0.360901 1.37566 0.0678765 0.0128822 0.121582 0.000135509 0.424191 0.441271 
-0.6 89046.5 0.242006 -0.000194563 -0.0864674 0.256989 0.24204 0.000221991 -0.913523 0.945043 0.0274375 0.0300308 0.0291957 0.0280779 0.0478771 0.261704 0.230878 0.0930625 405.813 0 0 -0.00256949 -0.00143936 308.28 6 236.291 2.4199 9600 0.358618 0.00076267 0.26376 0.445171 0.35792 0.000194436 0.263881 0.444679 1.635 0.0826603 0.0152929 0.144621 0.000162461 0.509275 0.529411 
-0.7 103739 0.278393 -0.000244858 -0.100189 0.295873 0.278508 0.000256815 -1.06647 1.10224 0.0377852 0.0412237 0.0403248 0.0426095 0.0564343 0.306841 0.252176 0.109063 475.456 0 0 -0.00300425 -0.00163962 321.302 6 245.432 2.47089 9600 0.437481 0.000897566 0.307715 0.534864 0.436673 0.000237891 0.307861 0.534286 1.88183 0.0978931 0.0178254 0.166541 0.000188695 0.594519 0.617404 
-0.8 118374 0.311444 -0.00028799 -0.113426 0.331456 0.311473 0.000299426 -1.2199 1.25904 0.0499557 0.0542814 0.0534658 0.06019 0.0651705 0.352362 0.272643 0.125182 545.579 0 0 -0.00344222 -0.00182567 318.988 6 243.462 2.43513 9600 0.525387 0.00103174 0.351666 0.63222 0.524472 0.000280545 0.351839 0.631555 2.24865 0.113587 0.0210938 0.186451 0.000212836 0.680002 0.705101 
-1 147472 0.361135 -0.000391417 -0.137661 0.386483 0.361025 0.00036987 -1.52902 1.57106 0.0800352 0.086083 0.0862163 0.104803 0.083216 0.444432 0.31188 0.157721 687.037 0 0 -0.00433137 -0.0021481 529.914 9 418.143 2.44419 9600 0.738079 0.00134729 0.439562 0.859056 0.736958 0.000389205 0.439795 0.858211 5.45216 0.146426 0.05058 0.216823 0.000253363 0.852074 0.879228 
-1.2 176267 0.369587 -0.000452778 -0.156469 0.401345 0.369663 0.000496845 -1.84352 1.88022 0.118263 0.125312 0.128358 0.162435 0.102026 0.537121 0.349592 0.190383 828.913 0 0 -0.00524865 -0.00238601 330.405 7 243.133 2.44522 9600 1.02872 0.00166342 0.52744 1.15606 1.02741 0.000551374 0.527745 1.15503 5.45216 0.181203 0.05058 0.223505 0.000326616 1.02676 1.0508 
