applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 13701.3 -0.0341518 -0.00192602 -0.0260233 0.0429799 -0.0307839 -0.00416579 -0.139921 0.143328 0.000278643 0.00108666 0.000288432 0.000218952 0.00814159 0.0349505 0.0778634 0.010244 77.9951 0 0 -0.000347495 -0.000182526 489.914 19 255.724 0.0627964 9600 0.1168 0.00398517 0.0438966 0.12484 0.116713 0.00362519 0.0439346 0.124761 0.386013 0.0116492 0.00388733 0.017317 0.00294649 0.0773632 0.0793324 
-0.2 27411.6 -0.0649856 -0.00517174 -0.0523466 0.0836065 -0.0645998 -0.00973535 -0.279882 0.287405 0.00111971 0.00368506 0.00118606 0.000968922 0.0168488 0.0635137 0.113741 0.0189148 143.655 0 0 -0.000692113 -0.00035884 498.659 19 261.682 0.052736 9600 0.233685 0.0107238 0.0878859 0.249895 0.233512 0.00971884 0.087941 0.249711 0.601176 0.0237242 0.00609648 0.0362526 0.00685872 0.154717 0.159056 
-0.3 41194.4 -0.0902335 -0.00582016 -0.0792355 0.120226 -0.0726149 -0.00662664 -0.419989 0.426272 0.00248235 0.00553741 0.00255581 0.00206837 0.0246115 0.0796891 0.133684 0.0249536 176.187 0 0 -0.00103711 -0.000529954 767.802 40 261.345 0.0498363 9600 0.343774 0.0122678 0.131952 0.368432 0.343515 0.0109627 0.132086 0.368198 0.85279 0.0351973 0.00855421 0.0406256 0.00554619 0.232383 0.235973 
-0.4 54539.1 -0.223466 -0.00153813 -0.0948531 0.242768 -0.221846 -0.00114734 -0.571617 0.613158 0.00441006 0.00892366 0.00463947 0.00371261 0.0326686 0.0975534 0.155232 0.0331346 225.018 0 0 -0.00144798 -0.000677554 824.115 46 252.13 0.0472462 9600 0.589226 0.00272343 0.175784 0.614894 0.588877 0.00237939 0.175876 0.614585 1.1061 0.0455389 0.0121048 0.127763 0.00108187 0.315109 0.340027 
-0.45 61351.6 -0.229638 -0.00344542 -0.108718 0.254097 -0.213059 -0.00334499 -0.640398 0.674919 0.00562533 0.0112341 0.00587356 0.00483486 0.0368088 0.109496 0.164753 0.0374735 252.466 0 0 -0.00161684 -0.000755447 1115.47 19 884.065 0.0462448 9600 0.639335 0.00672264 0.197694 0.669237 0.638946 0.00605163 0.197848 0.668904 1.42038 0.0517202 0.0152038 0.122231 0.0030551 0.353361 0.373916 
-0.5 68107.7 -0.260463 -0.00676065 -0.12013 0.286911 -0.260154 -0.0103635 -0.712378 0.758465 0.00699839 0.0141083 0.00728102 0.00601002 0.0412914 0.122745 0.176705 0.0418514 282.91 0 0 -0.00179788 -0.000828316 527.823 23 256.804 0.0482194 9600 0.723258 0.0133064 0.219736 0.756018 0.722828 0.0122024 0.219866 0.755626 1.42038 0.0575847 0.0152451 0.149052 0.0074533 0.392857 0.420249 
-0.525 71471.7 -0.290107 -0.00577109 -0.124425 0.315716 -0.29714 -0.0074424 -0.750321 0.80705 0.00767566 0.0157072 0.00816894 0.00660528 0.0438598 0.129417 0.182527 0.0440023 298.47 0 0 -0.00189766 -0.000862044 1529.07 43 967.109 0.0433173 9600 0.782267 0.0111439 0.230795 0.815679 0.781815 0.0102323 0.230906 0.815265 1.53423 0.0604903 0.016866 0.170656 0.00544773 0.41356 0.44742 
-0.55 74762.8 -0.328381 -0.00352422 -0.127734 0.352367 -0.328482 -0.00386528 -0.788684 0.854364 0.00842905 0.0173712 0.0089322 0.00716763 0.0455841 0.136038 0.18495 0.0461008 313.814 0 0 -0.00200495 -0.00089254 706.884 34 281.316 0.0472213 9600 0.850494 0.00658808 0.241734 0.884205 0.850021 0.00594817 0.241863 0.883781 1.53423 0.0634032 0.0170859 0.189086 0.00304838 0.434553 0.473919 
-0.575 78061 -0.362441 -0.00213241 -0.131457 0.38555 -0.358507 -0.00151425 -0.82661 0.901007 0.0092316 0.0191297 0.00977711 0.0077812 0.0475292 0.142692 0.188409 0.0482252 329.255 0 0 -0.00210882 -0.000923111 448.763 15 258.915 0.0478399 9600 0.914062 0.00367539 0.252661 0.948346 0.913568 0.00320554 0.252804 0.947906 1.61441 0.0663783 0.0180733 0.206683 0.00144656 0.455309 0.500026 
-0.6 81382.4 -0.370239 -0.0037536 -0.137756 0.395054 -0.360892 -0.00458038 -0.861144 0.93372 0.0101118 0.0208504 0.010597 0.00853204 0.0494414 0.149013 0.192367 0.050419 343.739 0 0 -0.00219537 -0.000956684 403.256 11 265.837 0.0495007 9600 0.946701 0.00691129 0.263506 0.982714 0.946187 0.00626731 0.263676 0.98226 1.69765 0.0693887 0.0188729 0.207726 0.00366926 0.474454 0.517948 
